"ip","finger","hash","name","race","background","date","class","justClass","subclass","level","feats","HP","AC","Str","Dex","Con","Int","Wis","Cha","alignment","skills","weapons","spells","castingStat","choices","country","countryCode","processedAlignment","good","lawful","processedRace","processedSpells","processedWeapons","levelGroup","alias"
"395dbf5","6b8f353","e2abf48ef8a6d3df63d86193157fbe34","4c4562f","Fallen Aasimar","Outlander",2019-04-18 19:23:52,"Paladin 4","Paladin","Oath of Vengeance",4,NA,42,16,17,10,16,10,10,16,NA,"Athletics|Insight|Survival|Persuasion","Glaive|Maul|Dagger","Bane*1|Hunter<U+0092>s Mark*1","Cha","fighting style/Great Weapon Fighting","United States","US",NA,NA,NA,"Aasimar","Bane*1|Hunter's Mark*1","Glaive|Maul|Dagger","4-7","goofy_shockley"
NA,"0a6ccc4","614c927774dde8c8ce7c96aef432e1d0","8727815","Dark Elf","Entertainer",2019-04-18 18:06:06,"Bard 10","Bard","College of Swords",10,NA,63,17,12,20,12,8,11,16,NA,"Athletics|Acrobatics|Stealth|Perception|Intimidation|Performance","Rapier|Dagger|Scimitar x2",NA,"Cha","expertise/Athletics*Acrobatics*Stealth*Intimidation|fighting style/Two-Weapon Fighting","Canada","CA",NA,NA,NA,"Elf",NA,"Rapier|Dagger|Scimitar","8-11","gallant_pare"
"ca47b89","e9df88c","1e3445a4345c5d01b2966be73bf73bf8","9eca05f","Dragonborn","Soldier",2019-04-18 17:38:11,"Sorcerer 9","Sorcerer","Draconic Bloodline",9,NA,73,13,14,9,17,14,10,20,NA,"Athletics|Arcana|Religion|Intimidation","Quarterstaff|Dagger",NA,"Cha","metamagic/Heightened Spell*Empowered Spell","United States","US",NA,NA,NA,"Dragonborn",NA,"Quarterstaff|Dagger","8-11","sweet_napier"
"ca47b89","e9df88c","8ea9baabe451ee0f96adb8e04b40fd45","83ece12","Rock Gnome","Soldier",2019-04-18 17:37:47,"Wizard 9","Wizard","School of Evocation",9,NA,67,13,9,16,16,20,17,17,NA,"Athletics|Arcana|History|Intimidation","Dagger",NA,"Int",NA,"United States","US",NA,NA,NA,"Gnome",NA,"Dagger","8-11","amazing_beaver"
"ca47b89","e9df88c","23f4c5b045cdf2c6d617a95be3b18c0e","9a484e2","Tiefling","Soldier",2019-04-18 17:30:05,"Fighter 6","Fighter","Champion",6,NA,64,12,18,15,18,14,12,10,NA,"Athletics|Perception|Survival|Intimidation","Glaive|Greatsword",NA,"Int","fighting style/Great Weapon Fighting","United States","US",NA,NA,NA,"Tiefling",NA,"Glaive|Greatsword","4-7","sad_leakey"
"ca47b89","e9df88c","50a1861670810f83b9ace1a92c636368","eb54a26","Lightfoot Halfling","Soldier",2019-04-18 15:25:30,"Fighter 6","Fighter","Champion",6,NA,42,15,7,20,10,11,15,16,NA,"Athletics|Acrobatics|Perception|Intimidation","Longbow|Longbow|Shortsword",NA,"Int","fighting style/Archery","United States","US",NA,NA,NA,"Halfling",NA,"Longbow|Longbow|Shortsword","4-7","frosty_jones"
"ca47b89","e9df88c","1283a467b00dd05a8726dc9ce5349adc","d3e4061","Mountain Dwarf","Soldier",2019-04-18 15:23:52,"Fighter 6","Fighter","Champion",6,NA,59,13,20,13,18,7,9,14,NA,"Athletics|Acrobatics|Perception|Intimidation","Morningstar",NA,"Int","fighting style/Dueling","United States","US",NA,NA,NA,"Dwarf",NA,"Morningstar","4-7","stoic_albattani"
"ca47b89","e9df88c","c4c9434fc2b4e3191dfe105b24297822","75034a6","Half-Orc","Soldier",2019-04-18 15:09:46,"Fighter 6","Fighter","Champion",6,NA,68,16,20,15,20,11,12,9,NA,"Athletics|Perception|Survival|Intimidation","Battleaxe|Battleaxe|Handaxe",NA,"Int","fighting style/Two-Weapon Fighting","United States","US",NA,NA,NA,"Half-Orc",NA,"Battleaxe|Battleaxe|Handaxe","4-7","xenodochial_banzai"
"ca47b89","e9df88c","8ab71de3b981360185eb6e5e35b5b17b","01598f1","High Elf","Mercenary Veteran",2019-04-18 15:04:08,"Fighter 6","Fighter","Champion",6,"Crossbow Expert",44,15,11,20,16,13,14,12,NA,"Athletics|Acrobatics|Perception|Survival|Persuasion","Longbow|Crossbow, Heavy",NA,"Int","fighting style/Archery","United States","US",NA,NA,NA,"Elf",NA,"Longbow|Crossbow, Heavy","4-7","jolly_murdock"
"ca47b89","e9df88c","fa5a221790717a598fee6d3af515d703","4be871b","Human","Mercenary Veteran",2019-04-18 14:56:40,"Fighter 6","Fighter","Champion",6,NA,60,16,20,16,18,13,14,9,NA,"Athletics|Acrobatics|Perception|Persuasion","Greatsword|Greataxe",NA,"Int","fighting style/Great Weapon Fighting","United States","US",NA,NA,NA,"Human",NA,"Greatsword|Greataxe","4-7","epic_cori"
"38a6144","b26d7c1","83f396e8bb68e11a218e5bd461df8fa4","c220956","Goliath","Knight",2019-04-18 12:48:36,"Paladin 3","Paladin","Oath of Devotion",3,NA,28,14,17,14,14,12,10,8,NA,"Athletics|Religion|Insight|Intimidation|Persuasion","Javelin","Protection from Evil and Good*1|Sanctuary*1","Cha","fighting style/Protection","United States","US",NA,NA,NA,"Goliath","Protection from Evil and Good*1|Sanctuary*1","Javelin","1-3","jolly_meitner"
"9984c1a","d2e52a6","f60f7bac6c037c25c89842564f6e7815","b29393b","Protector Aasimar","Far Traveler",2019-04-18 09:18:13,"Paladin 1","Paladin",NA,1,NA,11,10,11,9,13,13,16,14,NA,"Insight|Perception","Longsword|Javelin|Mace|Crossbow, Light",NA,"Cha",NA,"United States","US",NA,NA,NA,"Aasimar",NA,"Longsword|Javelin|Mace|Crossbow, Light","1-3","kind_galileo"
"09bf7e5","51831bb","67e81f4573782c9900f971d6d839fe91","7ce2c5d","Mountain Dwarf","Outlander",2019-04-18 01:23:56,"Fighter 2","Fighter",NA,2,NA,28,19,19,15,19,13,15,14,NA,"Athletics|Acrobatics|Perception|Survival","Warhammer|Crossbow, light",NA,"Int","fighting style/Defense","Turkey","TR",NA,NA,NA,"Dwarf",NA,"Warhammer|Crossbow, Light","1-3","infallible_cori"
"b6ecbba","9c1dd26","a72ec3f1375e848efc4f55a416d582bb","f3fc9a3","Human","Acolyte",2019-04-17 23:49:23,"Warlock 1","Warlock","The Great Old One",1,"Spell Sniper",7,11,10,11,9,11,16,16,NA,"Arcana|Religion|Insight|Deception","Crossbow, light|Dagger",NA,"Cha",NA,"United States","US",NA,NA,NA,"Human",NA,"Crossbow, Light|Dagger","1-3","vigorous_rubin"
NA,"8c04cfc","4d3f93e3ab849f13de34c618c82db959","06c6d29","Human","Sailor",2019-04-17 19:57:23,"Barbarian 2","Barbarian",NA,2,"Great Weapon Master",23,13,16,12,14,9,13,14,"Chaotic Neutral","Athletics|Animal Handling|Perception|Survival|Intimidation","Greataxe|Handaxe|Crossbow, light",NA,"Int",NA,"Canada","CA","CN",NA,NA,"Human",NA,"Greataxe|Handaxe|Crossbow, Light","1-3","compassionate_ishizaka"
"3826a80","0a6ccc4","1fa406ab006ae32eadc3e09cbf33678f","d535fec","Envoy","Urban Bounty Hunter",2019-04-17 19:32:14,"Fighter 6|Rogue 1","Fighter|Rogue","Eldritch Knight|",7,"War Caster|Shield Master",88,19,11,18,16,12,16,12,NA,"Acrobatics|Sleight of Hand|Stealth|Insight|Medicine|Perception","Longbow|Rapier",NA,"Int","fighting style/Dueling|expertise/Stealth*Perception","United States","US",NA,NA,NA,"Warforged",NA,"Longbow|Rapier","4-7","relaxed_taussig"
NA,"0a6ccc4","bad7fae4fbaab2a442a29ee2c9004fd2","5cf934f","Firbolg","Acolyte",2019-04-17 18:49:56,"Cleric 10","Cleric","Light Domain",10,"War Caster",73,18,10,14,14,9,18,12,NA,"Religion|Insight|Medicine|Persuasion","Mace|Crossbow, light","Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Flame Strike*5|Scrying*5","Wis",NA,"Canada","CA",NA,NA,NA,"Firbolg","Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Flame Strike*5|Scrying*5","Mace|Crossbow, Light","8-11","vigorous_swartz"
NA,"0a6ccc4","561835b6c1b5db0332dc87663a8e34d8","c7280d9","Human","Outlander",2019-04-17 18:49:23,"Barbarian 8","Barbarian","Path of the Totem Warrior",8,"Mounted Combatant",77,17,18,16,14,8,11,11,NA,"Athletics|Animal Handling|Perception|Survival","Whip|Spear|Javelin",NA,"Int",NA,"Canada","CA",NA,NA,NA,"Human",NA,"Whip|Spear|Javelin","8-11","silly_elbakyan"
"3a2490c","8aa35cd","156ea45d514d5aab0cf12fc05fe3713b","565636c","Deep Gnome","Sage",2019-04-17 13:33:45,"Wizard 2","Wizard","School of Divination",2,NA,14,12,8,15,14,17,10,10,"Neutral  Good","Arcana|History|Investigation|Religion","Quarterstaff","Minor Illusion*0|Mage Hand*0|Toll the Dead*0|Mage Armor*1|Shield*1|Find Familliar*1|Comprehend Languages*1|Detect Magic*1|Tashas Hideous Laughter*1","Int",NA,"United States","US","NG",NA,NA,"Gnome","Minor Illusion*0|Mage Hand*0|Toll the Dead*0|Mage Armor*1|Shield*1|Find Familiar*1|Comprehend Languages*1|Detect Magic*1|Tasha's Hideous Laughter*1","Quarterstaff","1-3","kind_wu"
NA,"4fb0112","4885977d0ccc5254b259793e6c3f8320","7730588","Firbolg","Hermit",2019-04-17 12:21:57,"Druid 7","Druid","Circle of Spores",7,"Elemental Adept",70,15,14,12,14,14,19,13,"NG","Nature|Religion|Medicine|Survival","Quarterstaff","Chill Touch*0|Blindness/Deafness*1|Gentle Repose*1|Animate Dead*2|Gaseous Form*2|Blight*3|Confusion*3","Wis",NA,"Canada","CA","NG",NA,NA,"Firbolg","Chill Touch*0|*|*|*|*|*|*","Quarterstaff","4-7","epic_pike"
NA,"4fb0112","dfdeb44d65f96906fec3088c0c24e552","7730588","Firbolg","Hermit",2019-04-17 12:10:11,"Druid 5","Druid","Circle of Spores",5,"Elemental Adept",50,15,14,12,14,14,19,13,"NG","Nature|Religion|Medicine|Survival","Quarterstaff","Chill Touch*0|Blindness/Deafness*1|Gentle Repose*1|Animate Dead*2|Gaseous Form*2","Wis",NA,"Canada","CA","NG",NA,NA,"Firbolg","Chill Touch*0|*|*|*|*","Quarterstaff","4-7","epic_pike"
"5389ecc","c198712","9984b89e2b38f89873bc949639c5d4cc","b63b4fb","Kobold","Charlatan",2019-04-17 08:08:40,"Sorcerer 3","Sorcerer","Wild Magic",3,NA,17,13,7,16,12,12,12,14,NA,"Sleight of Hand|Arcana|Deception|Persuasion","Crossbow, light|Dagger","Mage Hand*0|Blade Ward*0|Prestidigitation*0|Shocking Grasp*0|Magic Missile*1|Shield*1|Gust of Wind*2|Shatter*2","Cha","metamagic/Twinned Spell*Quickened Spell","Italy","IT",NA,NA,NA,"Kobold","Mage Hand*0|Blade Ward*0|Prestidigitation*0|Shocking Grasp*0|Magic Missile*1|Shield*1|Gust of Wind*2|Shatter*2","Crossbow, Light|Dagger","1-3","romantic_albattani"
"ac7d4ca","c198712","3e67d75b477af9cfcadabfc26c614afa","b6a7a91","Goblin","Urchin",2019-04-17 07:56:14,"Monk 3","Monk","Way of Shadow",3,NA,27,15,12,16,14,10,14,10,NA,"Athletics|Acrobatics|Sleight of Hand|Stealth","Quarterstaff|Dart|Unarmed strike",NA,"Int",NA,"Italy","IT",NA,NA,NA,"Goblin",NA,"Quarterstaff|Dart|Unarmed Strike","1-3","zen_bohr"
"ac7d4ca","c198712","41ae7751332c9a7f416d98850bd9a486","e376d50","Human","Sailor",2019-04-17 07:55:26,"Barbarian 3","Barbarian","Path of the Berserker",3,"Tavern Brawler",32,14,16,14,14,10,10,12,NA,"Athletics|Perception|Survival|Intimidation","Bilanciere|Manubrio|Javelin",NA,"Int",NA,"Italy","IT",NA,NA,NA,"Human",NA,"||Javelin","1-3","silly_stallman"
"ac7d4ca","c198712","7aa66594c6d383ff251c1cc655058d53","b9db45b","Tabaxi","Entertainer",2019-04-17 07:54:41,"Bard 3","Bard","College of Glamour",3,NA,21,14,9,16,12,10,12,16,NA,"Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Performance|Persuasion","Rapier|Dagger","Dancing Lights*0|Vicious Mockery*0|Tasha's Hideous Laughter*1|Detect Magic*1|Healing Word*1|Faerie Fire*1|Silence*2|Crown of Madness*2","Cha","expertise/Investigation*Acrobatics","Italy","IT",NA,NA,NA,"Tabaxi","Dancing Lights*0|Vicious Mockery*0|Tasha's Hideous Laughter*1|Detect Magic*1|Healing Word*1|Faerie Fire*1|Silence*2|Crown of Madness*2","Rapier|Dagger","1-3","wonderful_mirzakhani"
"ac7d4ca","c198712","db342b2ed5e13f49704518a6980dd442","0868160","Half-Orc","Entertainer",2019-04-17 07:54:20,"Monk 3","Monk","Way of the Open Hand",3,NA,24,14,12,14,14,10,14,12,NA,"Acrobatics|Stealth|Insight|Intimidation|Performance","Shortsword|Dart|Unarmed strike",NA,"Int",NA,"Italy","IT",NA,NA,NA,"Half-Orc",NA,"Shortsword|Dart|Unarmed Strike","1-3","suspicious_pasteur"
"ac7d4ca","c198712","41822f8dc2a4bc86610ead94ea213d83","ce218a6","Dragonborn","Entertainer",2019-04-17 07:54:04,"Bard 3","Bard","College of Swords",3,NA,21,13,12,14,13,10,10,16,NA,"Acrobatics|Sleight of Hand|Intimidation|Performance|Persuasion","Dagger|Scimitar|Dagger","Blade Ward*0|True Strike*0|Bane*1|Heroism*1|Thunderwave*1|Charm Person*1|Cloud of Daggers*2|Enthrall*2","Cha","expertise/Performance*Acrobatics|fighting style/Two-Weapon Fighting","Italy","IT",NA,NA,NA,"Dragonborn","Blade Ward*0|True Strike*0|Bane*1|Heroism*1|Thunderwave*1|Charm Person*1|Cloud of Daggers*2|Enthrall*2","Dagger|Scimitar|Dagger","1-3","gracious_cocks"
"ac7d4ca","c198712","f69433e23ddc21090ac942041908dcc9","e1ef13d","Mountain Dwarf","Soldier",2019-04-17 07:53:32,"Druid 3","Druid","Circle of the Moon",3,NA,27,14,16,12,16,10,14,8,NA,"Athletics|Nature|Animal Handling|Intimidation","Battleaxe|Whip","Guidance*0|Thorn Whip*0|Cure Wounds*1|Animal Friendship*1|Thunderwave*1|Heat Metal*2|Hold Person*2","Wis",NA,"Italy","IT",NA,NA,NA,"Dwarf","Guidance*0|Thorn Whip*0|Cure Wounds*1|Animal Friendship*1|Thunderwave*1|Heat Metal*2|Hold Person*2","Battleaxe|Whip","1-3","flamboyant_vaughan"
"ac7d4ca","c198712","081d97d69c09e199d6a8a3b683bcad35","ba2f563","Stout Halfling","Entertainer",2019-04-17 07:52:24,"Cleric 3","Cleric","Trickery Domain",3,NA,24,16,14,10,14,9,14,14,NA,"Acrobatics|Medicine|Performance|Persuasion","Mace|Crossbow, light|Pie","Light*0|Toll the Dead*0|Charm Person*1|Disguise Self*1|Bless*1|Healing Word*1|Inflict Wounds*1|Mirror Image*2|Pass Without Trace*2|Find Traps*2|Prayer of Healing*2","Wis",NA,"Italy","IT",NA,NA,NA,"Halfling","Light*0|Toll the Dead*0|Charm Person*1|Disguise Self*1|Bless*1|Healing Word*1|Inflict Wounds*1|Mirror Image*2|Pass Without Trace*2|Find Traps*2|Prayer of Healing*2","Mace|Crossbow, Light|Pike","1-3","flamboyant_archimedes"
NA,"762ed88","a50d9b694b4a82ec1436f5699a9de585","130f180","Tabaxi","Noble",2019-04-17 04:59:16,"Rogue 5","Rogue","Inquisitive",5,NA,33,15,13,18,12,10,8,12,NA,"Acrobatics|Sleight of Hand|Stealth|History|Investigation|Perception|Performance|Persuasion","Rapier|Shortbow|Dagger",NA,"Int","expertise/Stealth*Persuasion","Canada","CA",NA,NA,NA,"Tabaxi",NA,"Rapier|Shortbow|Dagger","4-7","angry_burnell"
NA,"762ed88","89303a0d107005b87dbb77c224cf3d0f","6b547c0","Hobgoblin","Clan Crafter",2019-04-17 04:58:48,"Monk 5","Monk","Way of the Long Death",5,NA,28,13,7,12,11,10,14,12,NA,"Acrobatics|History|Religion|Insight","Shortsword|Dart|Unarmed strike",NA,"Int",NA,"Canada","CA",NA,NA,NA,"Hobgoblin",NA,"Shortsword|Dart|Unarmed Strike","4-7","compassionate_keller"
"1b31d52","7c5b958","05fa30709506735631533a90facdcbb9","9752510","Goliath","Barbarian Tribe Member",2019-04-16 22:14:41,"Barbarian 3","Barbarian","Path of the Storm Herald",3,NA,32,14,18,14,15,11,12,12,"LN","Athletics|Perception|Survival|Intimidation","Greataxe|Handaxe|Javelin",NA,"Int",NA,"Australia","AU","LN",NA,NA,"Goliath",NA,"Greataxe|Handaxe|Javelin","1-3","relaxed_newton"
"06b1857","0a6ccc4","0e1751b20f1f210413d55365875acd2a","38390db","Centaur","Far Traveler",2019-04-16 19:38:54,"Cleric 5","Cleric","Nature Domain",5,NA,55,15,10,14,17,10,16,8,NA,"History|Insight|Medicine|Perception|Survival","Mace|Spear","Animal Friendship*1|Speak with Animals*1|Barkskin*2|Spike Growth*2|Plant Growth*3|Wind Wall*3","Wis",NA,"United States","US",NA,NA,NA,"Centaur","Animal Friendship*1|Speak with Animals*1|Barkskin*2|Spike Growth*2|Plant Growth*3|Wind Wall*3","Mace|Spear","4-7","awesome_wu"
"06b1857","0a6ccc4","cf212bf2e5b5c6fbaca09eb11f0d383f","f7d2b63","Mountain Dwarf","Hermit",2019-04-16 18:17:01,"Cleric 1","Cleric","Forge Domain",1,NA,11,16,14,17,17,17,12,12,NA,"History|Religion|Insight|Medicine","Warhammer|Crossbow, light","Identify*1|Searing Smite*1","Wis",NA,"United States","US",NA,NA,NA,"Dwarf","Identify*1|Searing Smite*1","Warhammer|Crossbow, Light","1-3","epic_borg"
"b552cbd","e448375","03edc6770c2919231c674bc3293f1e07","2c51c67","Human","Inheritor",2019-04-16 16:56:50,"Barbarian 5|Warlock 1","Barbarian|Warlock","Path of the Ancestral Guardian|The Great Old One",6,NA,52,15,18,16,15,9,9,13,"Chaotic Neutral","Athletics|Arcana|Survival|Intimidation","Greataxe|Handaxe|Javelin","Prestidigitation*0|Thunder Clap*0|Unseen Servant*1|Spaghetti Tentacles*1","Cha",NA,"United States","US","CN",NA,NA,"Human","Prestidigitation*0|Thunderclap*0|Unseen Servant*1|*","Greataxe|Handaxe|Javelin","4-7","laughing_thompson"
NA,NA,"a043fdb230e5d784cfcba500d4a1d732","dcc841a","Human","Far Traveler",2019-04-16 12:56:33,"Monk 6","Monk","Way of the Open Hand",6,"Lucky",36,18,12,18,11,8,18,10,"Lawful Good","Athletics|Acrobatics|Stealth|Insight|Perception","CQC|Dart|Rapier|Quarterstaff",NA,"Wis",NA,"Canada","CA","LG",NA,NA,"Human",NA,"|Dart|Rapier|Quarterstaff","4-7","gifted_fermat"
"2757fb3","6953045","365f82677f073ce4c51cfc0350a9c42e","2e9b8d5","Wood Elf","Hermit",2019-04-15 15:39:21,"Monk 6","Monk","Way of Shadow",6,NA,46,17,12,20,14,10,15,6,"NG","Stealth|Religion|Insight|Medicine|Perception","Handaxe|Dart|Unarmed strike|Javelin|Dagger|Shortsword|Sling|Longbow|Longsword","Minor Illusion*0|Darkness*2|Darkvision*2|Pass Without Trace*2|Silence*2","Wis",NA,"United States","US","NG",NA,NA,"Elf","Minor Illusion*0|Darkness*2|Darkvision*2|Pass Without Trace*2|Silence*2","Handaxe|Dart|Unarmed Strike|Javelin|Dagger|Shortsword|Sling|Longbow|Longsword","4-7","gifted_moore"
"dd643ff","d7b2c15","c4c79fb0fd32ce56d35e580b869f5482","4facb82","Human","Soldier",2019-04-15 12:08:59,"Barbarian 1","Barbarian",NA,1,"Sentinel",15,15,16,14,16,8,10,8,NA,"Athletics|Animal Handling|Perception|Survival|Intimidation","Greatsword|Unarmed strike|Javelin",NA,"Int",NA,"Canada","CA",NA,NA,NA,"Human",NA,"Greatsword|Unarmed Strike|Javelin","1-3","fervent_engelbart"
"6e132f2","b22b057","18db434b1f889bec748f8c82481e1074","1e185fc","Hill Dwarf","Outlander",2019-04-15 11:40:23,"Barbarian 5","Barbarian","Path of the Berserker",5,"Charger",63,14,15,12,16,10,14,8,"chaotic","Athletics|Nature|Survival|Intimidation","Greataxe|Handaxe|Javelin",NA,"Int",NA,"United Kingdom","GB","CN",NA,NA,"Dwarf",NA,"Greataxe|Handaxe|Javelin","4-7","lucid_mclaren"
"48cc4f7","e7f0171","03ecfd0143ef4689168f29b80fd141e4","e4fd098","Human","Guild Artisan",2019-04-15 10:01:35,"Druid 1","Druid",NA,1,"Healer",10,16,8,14,14,12,16,10,NA,"Nature|Insight|Medicine|Survival|Persuasion","Scimitar","Primal Savegery*0|Produce Flame*0|Purify Food/Drink (R)*1|Speak With Animals (R)*1|Cure Wounds*1|Goodberry*1","Wis",NA,"United States","US",NA,NA,NA,"Human","Primal Savagery*0|Produce Flame*0|Purify Food and Drink*1|Speak with Animals*1|Cure Wounds*1|Goodberry*1","Scimitar","1-3","trusting_jepsen"
"8559e2e","2a30318","885c1eab3bc8de30b978337d66c8c92f","0c55bf8","Tiefling","Urchin",2019-04-15 09:42:45,"Rogue 4|Warlock 1","Rogue|Warlock","Inquisitive|Raven Queen",5,NA,35,15,9,16,10,14,10,14,NA,"Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception","Rapier|Shortbow|Dagger","Toll The Dead*0|Chill Touch*0|Spare The Dying*0|Sanctuary*1|Sleep*1","Int","expertise/Stealth*Investigation","Belgium","BE",NA,NA,NA,"Tiefling","Toll the Dead*0|Chill Touch*0|Spare the Dying*0|Sanctuary*1|Sleep*1","Rapier|Shortbow|Dagger","4-7","frosty_banach"
"15b9be8","c40ae4f","f584c8bbeb1ea59ce366af982571a0c1","e19cbcf","Half-Orc","Outlander",2019-04-15 06:10:35,"Sorcerer 1","Sorcerer","Shadow Magic",1,NA,8,12,10,14,14,10,12,15,"Chaotic Neutral","Athletics|Arcana|Insight|Survival|Intimidation","Crossbow, light|Dagger","Chill Touch*0|Ray Of Frost*0|Frostbite*0|Mage Hand*0|Mage Armor*1|Ice Knife*1","Cha",NA,"United States","US","CN",NA,NA,"Half-Orc","Chill Touch*0|Ray of Frost*0|Frostbite*0|Mage Hand*0|Mage Armor*1|Ice Knife*1","Crossbow, Light|Dagger","1-3","agitated_austin"
"7bfbd86",NA,"077031db707a364e77c4391d01e11846","de0ad93","Half-Elf","Criminal",2019-04-14 22:54:49,"Bard 4","Bard","College of Lore",4,NA,32,14,8,16,10,12,14,18,NA,"Sleight of Hand|Stealth|Investigation|Medicine|Perception|Deception|Intimidation|Performance|Persuasion","Rapier|Dagger","Vicious Mockery*0|Friends*0|Minor Illusion*0|Faerie Fire*1|Dissonant Whispers*1|Hideaous Laughter*1|Sleep*1|Healing Word*1|Heat Metal*2|Phantasmal Force*2","Cha","expertise/Intimidation","Canada","CA",NA,NA,NA,"Half-Elf","Vicious Mockery*0|Friends*0|Minor Illusion*0|Faerie Fire*1|Dissonant Whispers*1|Tasha's Hideous Laughter*1|Sleep*1|Healing Word*1|Heat Metal*2|Phantasmal Force*2","Rapier|Dagger","4-7","inspiring_beaver"
"6137a7e","da0bd25","dc043c994c4b7afe27af34c5ec6430b8","1ac70bd","Dragonborn","Criminal",2019-04-14 20:46:39,"Wizard 5","Wizard","School of Conjuration",5,NA,39,11,10,13,14,17,12,11,"Chaotic Evil","Stealth|Arcana|Investigation|Deception","Quarterstaff","Mage Hands*0|Minor Illusion*0|Light*0|Fire Bolt*0|Charm Person*1|Sleep*1|Feather Fall*1|Fog Cloud*1|Comperhand Languages*1|Magic Missle*1|Burning Hands*1|Witch Bolt*1|Enlarge/Reduce*2|Alter Self*2|Levitate*2|Cloud Of Daggers*2|Water Breathing*3|Remove Curse*3","Int",NA,"United States","US","CE",NA,NA,"Dragonborn","Mage Hand*0|Minor Illusion*0|Light*0|Fire Bolt*0|Charm Person*1|Sleep*1|Feather Fall*1|Fog Cloud*1|Comprehend Languages*1|Magic Missile*1|Burning Hands*1|Witch Bolt*1|Enlarge/Reduce*2|Alter Self*2|Levitate*2|Cloud of Daggers*2|Water Breathing*3|Remove Curse*3","Quarterstaff","4-7","cocky_yonath"
"4987b70",NA,"aec698ea3a78c4c33c5b6d0025562768","f37ead0","Human","Acolyte",2019-04-14 20:45:44,"Cleric 1","Cleric","Arcana Domain",1,"Spell Sniper",9,18,10,14,12,14,16,8,NA,"Arcana|History|Religion|Insight|Medicine|Perception","Mace|Crossbow, light","Detect Magic*1|Magic Missile*1","Wis",NA,"United States","US",NA,NA,NA,"Human","Detect Magic*1|Magic Missile*1","Mace|Crossbow, Light","1-3","confident_clarke"
"63b71e3","ce1147d","d70adf7ce5b6e4c2f1e61475b9b76166","f8c1d32","Mountain Dwarf","Urban Bounty Hunter",2019-04-14 20:25:30,"Paladin 2","Paladin",NA,2,NA,27,19,20,13,18,10,10,14,"Chaotic Good","Religion|Deception|Intimidation|Persuasion","Warhammer|Javelin","Cure Wounds*1|Shield Of Faith*1","Cha","fighting style/Defense","United States","US","CG",NA,NA,"Dwarf","Cure Wounds*1|Shield of Faith*1","Warhammer|Javelin","1-3","nostalgic_fermi"
"93b4d40","790ed3d","082ade437b016378918c1ce361518378","6788131","Caprien (Goatfolk)","Trade Sherrif",2019-04-14 18:00:06,"Fighter 9","Fighter","Battle Master",9,"Crossbow Expert|Sharpshooter",77,16,8,18,15,12,14,10,NA,"Acrobatics|Investigation|Insight|Perception|Intimidation|Persuasion","Crossbow, hand (Pistol)|Crossbow, heavy (Sniper Rifle)|Crossbow, light (Large Rifle)",NA,"Int","combat superiority maneuvers/Trip Attack*Pushing Attack*Disarming Attack*Precision Attack*Goading Attack|fighting style/Archery","United States","US",NA,NA,NA,NA,NA,"Crossbow, hand|Crossbow, Heavy|Crossbow, Light","8-11","clever_hodgkin"
"2fb36d0","ce7d428","43ce0ae24d3fae9fcd76e4b7056ae8af","ea6f1de","Half-Elf","Outlander",2019-04-14 17:09:55,"Ranger 3","Ranger","Beast Master",3,NA,36,15,14,18,14,10,16,13,"CG","Athletics|Stealth|Nature|Insight|Perception|Survival|Persuasion","Shortsword|Longbow",NA,"Wis","fighting style/Archery","United States","US","CG",NA,NA,"Half-Elf",NA,"Shortsword|Longbow","1-3","blissful_goldberg"
"d28a517",NA,"575542a22fab09eb2721e21287ff7f80","9fc83e8","Dragonborn","Acolyte",2019-04-14 12:15:54,"Paladin 2","Paladin",NA,2,NA,24,18,18,12,14,8,12,14,"LG","Religion|Insight|Medicine|Intimidation","Warhammer|Greatsword|Longsword|Crossbow, hand",NA,"Cha","fighting style/Great Weapon Fighting","United States","US","LG",NA,NA,"Dragonborn",NA,"Warhammer|Greatsword|Longsword|Crossbow, hand","1-3","brave_wing"
"e29ef33","35603f2","eb1e838ae7918c1d416d3294ac42c840","dca578a","Tabaxi","Urchin",2019-04-14 10:55:41,"Sorcerer 5","Sorcerer","Divine Soul",5,NA,32,12,8,15,14,10,12,18,NA,"Sleight of Hand|Stealth|Arcana|Perception|Persuasion","Crossbow, light|Dagger|Claw","Bane*1","Cha","metamagic/Quickened Spell*Heightened Spell","United States","US",NA,NA,NA,"Tabaxi","Bane*1","Crossbow, Light|Dagger|","4-7","sad_carson"
NA,"96c8d8a","92ab1af000ca098ac3b7d01e417d011d","a897f1b","Tabaxi","Acolyte",2019-04-13 23:48:04,"Druid 3","Druid","Circle of the Moon",3,NA,25,14,16,12,13,18,15,9,NA,"Stealth|Religion|Animal Handling|Insight|Medicine|Perception","Scimitar",NA,"Wis",NA,"Canada","CA",NA,NA,NA,"Tabaxi",NA,"Scimitar","1-3","silly_mestorf"
