Class_ID,Class_Name,Ability,HP,Training,subclass,Proficiency
,Druid,Arcana,9,Work,,Defensive Duelist
,Monk,Heal,106,Gambling,Way of the Drunken Master,Crossbow Expert
,Fighter,Dungeoneering,149,Tool,Samurai,Great Weapon Master
,Paladin,Thievery,12,Carousing,,Crossbow Expert
,Warlock,Arcana,4,Scribing a Spell Scroll,The Archfey,Medium Armor
,Paladin|Rogue,Stealth,57,Selling a Magic Item,OathBreaker|Inquisitive,Great Weapon Master
,Ranger,Nature,60,Sacred Rites,Gloom Stalker,Sharpshooter
,Fighter,Bluff,74,Relaxation,Champion,Medium Armor
,Bard,Stealth,52,Selling a Magic Item,College of Glamour,War Caster
,Druid,Streetwise,45,Buying a Magic Item,Circle of the Shepherd,Spell Sniper
,Wizard,Nature,145,Religious Service,Bladesinging,Sentinel
,Sorcerer,Nature,8,Stronghold,Wild Magic,Lucky
,"
Fighter",Dungeoneering,39,Relaxation,Battle Master,Prodigy
,Paladin,Diplomacy,13,Sowing Rumors,,Sharpshooter
,Fighter,Heal,28,Crafting an Item,,Spell Sniper
,Fighter,Heal,28,Work,,Mobile
,Druid,Religion,27,Tool,Circle of Spores,Prodigy
,Barbarian,Heal,45,Work,Path of the Totem Warrior,Great Weapon Master
,Fighter,Diplomacy,31,Work,Champion,Defensive Duelist
,Fighter,Intimidate,31,Tool,Champion,Sentinel
,Bard,Stealth,20,Sowing Rumors,College of Whispers,Medium Armor
,Rogue|Cleric,Nature,64,Gambling,Arcane Trickster|Trickery Domain,Elven Accuracy
,Ranger,Bluff,52,Scribing a Spell Scroll,Beast Master,Alert
,Warlock,Religion,10,Sacred Rites,The Archfey,Elven Accuracy
,Monk,Stealth,48,Crafting an Item,Way of the Open Hand,Crossbow Expert
,Fighter,Thievery,12,Sowing Rumors,,Sentinel
,Ranger,Religion,13,Tool,,Crossbow Expert
,Barbarian,Arcana,14,Sowing Rumors,,Dual Wielder
,Fighter,Bluff,12,Relaxation,,Tough
,Paladin,Nature,40,Selling a Magic Item,Oath of Ancients,Tough
,Sorcerer,Athletics,32,Buying a Magic Item,Wild Magic,Shield Master
,Druid,Intimidate,9,Religious Service,,Dual Wielder
,Sorcerer,Thievery,84,Tool,Draconic Bloodline,Sentinel
,Monk,Athletics,6,Scribing a Spell Scroll,,Alert
,Rogue,Endurance,34,Sowing Rumors,Assassin,Crossbow Expert
,Fighter,Bluff,35,Tool,Champion,Observent
,Sorcerer,Bluff,7,Scribing a Spell Scroll,Draconic Bloodline,Medium Armor
,Cleric,Athletics,11,Relaxation,Trickery Domain,Prodigy
,Bard,Bluff,78,Tool,College of Swords,Alert
,Monk,Dungeoneering,91,Religious Service,Way of Shadow,Spell Sniper
,Fighter,Nature,100,Tool,Champion,Spell Sniper
,Cleric,Heal,31,Pit Fighting,Forge Domain,Resilient
,Fighter,Streetwise,11,Religious Service,,Medium Armor
,Fighter,Stealth,11,Sacred Rites,,Prodigy
,Fighter,Intimidate,11,Buying a Magic Item,,Crossbow Expert
,Rogue,Heal,10,Crafting an Item,,Prodigy
,Wizard,Endurance,11,Language,,Lucky
,Cleric,Heal,8,Buying a Magic Item,Life Domain,Great Weapon Master
,Fighter,Athletics,11,Relaxation,,Prodigy
,Paladin,Endurance,11,Gambling,,Medium Armor
,Druid,Religion,33,Tool,Circle of the Moon,Great Weapon Master
,Wizard,Insight,32,Sowing Rumors,School of Abjuration,Tough
,Fighter,Nature,11,Sowing Rumors,,Defensive Duelist
,Ranger,Dungeoneering,13,Buying a Magic Item,,Resilient
,Wizard,Bluff,32,Pit Fighting,School of Abjuration,Observent
,Paladin,Dungeoneering,31,Research,Oath of Conquest,Dual Wielder
,Fighter,Arcana,31,Sowing Rumors,Arcane Archer,Spell Sniper
,Cleric,Intimidate,21,Crime,Trickery Domain,Great Weapon Master
,Fighter,Stealth,32,Gambling,Samurai,Elven Accuracy
,Rogue,Streetwise,27,Language,Thief,Spell Sniper
,Bard,Intimidate,21,Carousing,College of Valor,Observent
,Warlock,Bluff,21,Language,The Hexblade,War Caster
,Monk,Dungeoneering,30,Selling a Magic Item,Way of the Drunken Master,Great Weapon Master
,Paladin,Heal,224,Work,Oath of Conquest,Sharpshooter
,Rogue|Fighter,Dungeoneering,20,Gambling,|,Actor
,Fighter,Streetwise,22,Religious Service,,Alert
,Druid,Insight,27,Scribing a Spell Scroll,Circle of Spores,Lucky
,Fighter,Intimidate,22,Crafting an Item,,Sentinel
,Rogue|Fighter,Streetwise,20,Research,|,Mobile
,Druid,Insight,166,Carousing,Circle of the Moon,Medium Armor
,Wizard,Dungeoneering,92,Religious Service,School of Abjuration,Defensive Duelist
,Paladin,Nature,12,Buying a Magic Item,,Crossbow Expert
,Rogue,Insight,8,Religious Service,,Polearm Master
,Paladin,Intimidate,224,Buying a Magic Item,Oath of Conquest,Sharpshooter
,Druid,Arcana,25,Relaxation,Circle of the Moon,Resilient
,Rogue,Thievery,25,Sacred Rites,Assassin,Shield Master
,Fighter,Endurance,23,Tool,Eldritch Knight,Dual Wielder
,Rogue,Dungeoneering,8,Gambling,,Shield Master
,Rogue,Religion,8,Relaxation,,Actor
,Rogue,Bluff,8,Stronghold,,Observent
,Bard,Endurance,20,Carousing,College of Lore,Tough
,Ranger,Athletics,29,Tool,Hunter,Lucky
,Wizard,Athletics,114,Work,School of Illusion,Defensive Duelist
,Druid,Athletics,166,Work,Circle of the Moon,Medium Armor
,Cleric,Insight,149,Stronghold,Life Domain,War Caster
,Monk,Nature,10,Tool,,Dual Wielder
,Rogue,Dungeoneering,36,Crime,Assassin,War Caster
,Monk,Stealth,39,Carousing,Way of the Sun Soul,Prodigy
,Cleric,Endurance,27,Work,Grave Domain,Defensive Duelist
,Paladin,Streetwise,35,Pit Fighting,Oath of Ancients,Defensive Duelist
,Barbarian,Streetwise,52,Scribing a Spell Scroll,Path of the Zealot,Spell Sniper
,Ranger|Rogue,Heal,59,Carousing,Gloom Stalker|Assassin,Prodigy
,Paladin|Bard|Warlock,Nature,107,Buying a Magic Item,Oath of Conquest|College of Whispers|The Hexblade,Great Weapon Master
,Rogue,Streetwise,8,Language,,Crossbow Expert
,Wizard,Athletics,14,Relaxation,School of Conjuration,Spell Sniper
,Blood Hunter,Diplomacy,100,Research,Order of the Ghostslayer,Mobile
,Warlock,Heal,20,Language,The Celestial,Elven Accuracy
,Fighter,Streetwise,31,Sacred Rites,Champion,Actor
,Warlock,Endurance,137,Language,The Great Old One,Mobile
,Paladin,Endurance,42,Selling a Magic Item,Oath of Vengeance,Resilient
,Bard,Endurance,63,Sacred Rites,College of Swords,Sentinel
,Sorcerer,Streetwise,73,Gambling,Draconic Bloodline,Crossbow Expert
,Wizard,Athletics,67,Sowing Rumors,School of Evocation,Defensive Duelist
,Fighter,Athletics,64,Crafting an Item,Champion,Sharpshooter
,Fighter,Dungeoneering,42,Gambling,Champion,Crossbow Expert
,Fighter,Diplomacy,59,Buying a Magic Item,Champion,War Caster
,Fighter,Religion,68,Language,Champion,Observent
,Fighter,Dungeoneering,44,Relaxation,Champion,Medium Armor
,Fighter,Dungeoneering,60,Crafting an Item,Champion,Mobile
,Paladin,Arcana,28,Crafting an Item,Oath of Devotion,Defensive Duelist
,Paladin,Thievery,11,Buying a Magic Item,,Actor
,Fighter,Diplomacy,28,Research,,Alert
,Warlock,Diplomacy,7,Language,The Great Old One,Elven Accuracy
,Barbarian,Dungeoneering,23,Buying a Magic Item,,Great Weapon Master
,Fighter|Rogue,Bluff,88,Carousing,Eldritch Knight|,Prodigy
,Cleric,Dungeoneering,73,Buying a Magic Item,Light Domain,Actor
,Barbarian,Stealth,77,Carousing,Path of the Totem Warrior,Resilient
,Wizard,Arcana,14,Religious Service,School of Divination,Alert
,Druid,Heal,70,Gambling,Circle of Spores,Sentinel
,Druid,Insight,50,Gambling,Circle of Spores,Mobile
,Sorcerer,Arcana,17,Language,Wild Magic,Sharpshooter
,Monk,Endurance,27,Gambling,Way of Shadow,Polearm Master
,Barbarian,Thievery,32,Religious Service,Path of the Berserker,Alert
,Bard,Insight,21,Language,College of Glamour,Crossbow Expert
,Monk,Dungeoneering,24,Religious Service,Way of the Open Hand,Mobile
,Bard,Dungeoneering,21,Carousing,College of Swords,Spell Sniper
,Druid,Arcana,27,Stronghold,Circle of the Moon,War Caster
,Cleric,Diplomacy,24,Religious Service,Trickery Domain,Medium Armor
,Rogue,Religion,33,Scribing a Spell Scroll,Inquisitive,Medium Armor
,Monk,Streetwise,28,Pit Fighting,Way of the Long Death,Dual Wielder
,Barbarian,Endurance,32,Selling a Magic Item,Path of the Storm Herald,Resilient
,Cleric,Diplomacy,55,Tool,Nature Domain,Mobile
,Cleric,Diplomacy,11,Sacred Rites,Forge Domain,Crossbow Expert
,Barbarian|Warlock,Religion,52,Crime,Path of the Ancestral Guardian|The Great Old One,Great Weapon Master
,Monk,Insight,36,Research,Way of the Open Hand,Polearm Master
,Monk,Thievery,46,Sacred Rites,Way of Shadow,Mobile
,Barbarian,Diplomacy,15,Relaxation,,Shield Master
,Barbarian,Bluff,63,Relaxation,Path of the Berserker,Elven Accuracy
,Druid,Dungeoneering,10,Tool,,Alert
,Rogue|Warlock,Stealth,35,Language,Inquisitive|Raven Queen,Sharpshooter
,Sorcerer,Religion,8,Stronghold,Shadow Magic,Tough
,Bard,Endurance,32,Relaxation,College of Lore,Tough
,Wizard,Streetwise,39,Carousing,School of Conjuration,Dual Wielder
,Cleric,Intimidate,9,Gambling,Arcana Domain,Sentinel
,Paladin,Arcana,27,Crafting an Item,,Defensive Duelist
,Fighter,Heal,77,Buying a Magic Item,Battle Master,Shield Master
,Ranger,Endurance,36,Scribing a Spell Scroll,Beast Master,Dual Wielder
,Paladin,Thievery,24,Sacred Rites,,Actor
,Sorcerer,Arcana,32,Crime,Divine Soul,Sharpshooter
,Druid,Athletics,25,Relaxation,Circle of the Moon,Defensive Duelist
,Cleric,Intimidate,25,Sacred Rites,Life Domain,Resilient
,Barbarian,Religion,15,Sacred Rites,,Lucky
,Fighter,Arcana,36,Religious Service,Eldritch Knight,Prodigy
,Rogue,Endurance,13,Research,,Tough
,Ranger|Cleric,Thievery,70,Stronghold,Monster Slayer|Forge Domain,Shield Master
,Barbarian,Athletics,55,Research,Path of the Berserker,Prodigy
,Ranger,Bluff,67,Stronghold,Hunter,Alert
,Monk,Nature,83,Relaxation,Way of the Sun Soul,Polearm Master
,Fighter,Insight,94,Sacred Rites,Purple Dragon Knight,Spell Sniper
,Rogue,Heal,73,Scribing a Spell Scroll,Assassin,Polearm Master
,Barbarian,Stealth,105,Relaxation,Path of the Berserker,Mobile
,Sorcerer,Athletics,62,Language,Draconic Bloodline,Shield Master
,Rogue,Insight,10,Relaxation,,Crossbow Expert
,Rogue,Insight,6,Selling a Magic Item,,Spell Sniper
,Barbarian,Thievery,14,Scribing a Spell Scroll,,Great Weapon Master
,Paladin,Stealth,12,Religious Service,,Elven Accuracy
,Cleric,Intimidate,11,Crime,Life Domain,Mobile
,Fighter,Religion,36,Research,Eldritch Knight,Dual Wielder
,Warlock,Athletics,105,Buying a Magic Item,The Fiend,Defensive Duelist
,Monk,Dungeoneering,30,Gambling,Way of the Kensei,Resilient
,Fighter,Nature,44,Research,Samurai,Dual Wielder
,Fighter,Insight,44,Gambling,Samurai,Resilient
,Fighter,Diplomacy,17,Relaxation,Samurai,Prodigy
,Ranger|Warlock,Diplomacy,48,Stronghold,Beast Master|The Archfey,Alert
,Blood Hunter,Streetwise,84,Religious Service,Order of the Lycan,Alert
,Rogue,Dungeoneering,8,Work,,Lucky
,Sorcerer,Stealth,6,Language,Wild Magic,Mobile
,Sorcerer,Endurance,8,Tool,Shadow Magic,Sentinel
,Barbarian,Thievery,13,Work,,Defensive Duelist
,Fighter,Nature,20,Research,,Tough
,Fighter,Dungeoneering,12,Carousing,,Crossbow Expert
,Druid,Streetwise,8,Crime,,Dual Wielder
,Ranger,Athletics,52,Sacred Rites,Hunter,Dual Wielder
,Ranger,Intimidate,67,Crime,Beast Master,Elven Accuracy
,Ranger,Diplomacy,60,Selling a Magic Item,Beast Master,Great Weapon Master
,Rogue,Dungeoneering,24,Work,Inquisitive,Great Weapon Master
,Warlock,Nature,123,Relaxation,The Archfey,War Caster
,Barbarian,Bluff,1105,Gambling,Path of the Battlerager,Alert
,Wizard,Streetwise,182,Relaxation,School of Evocation,Mobile
,Paladin,Dungeoneering,49,Buying a Magic Item,Oath of Devotion,Tough
,Paladin|Sorcerer,Athletics,86,Buying a Magic Item,Oath of Devotion|Shadow Magic,Prodigy
,Paladin|Sorcerer,Stealth,86,Research,Oath of Devotion|Shadow Magic,Prodigy
,Bard,Heal,78,Sacred Rites,College of Swords,Mobile
,Revised Ranger|Rogue,Diplomacy,80,Religious Service,Hunter Conclave|Assassin,Great Weapon Master
,Warlock,Diplomacy,72,Selling a Magic Item,The Hexblade,Prodigy
,Revised Ranger|Rogue,Religion,80,Religious Service,Hunter Conclave|Assassin,War Caster
,Monk,Stealth,86,Carousing,Way of Shadow,Tough
,Fighter,Intimidate,100,Sowing Rumors,Champion,Mobile
,Paladin,Nature,12,Research,,Actor
,Wizard,Dungeoneering,9,Relaxation,,Actor
,Warlock,Diplomacy,21,Stronghold,The Fiend,Defensive Duelist
,Paladin,Dungeoneering,22,Language,,Tough
,Rogue,Thievery,41,Pit Fighting,Swashbuckler,War Caster
,Paladin,Endurance,13,Carousing,,Great Weapon Master
,Cleric,Bluff,41,Buying a Magic Item,Light Domain,Dual Wielder
,Paladin,Dungeoneering,51,Research,Oath of Conquest,Sharpshooter
,Barbarian,Stealth,65,Work,Path of the Berserker,Dual Wielder
,Warlock,Thievery,10,Work,The Fiend,Sharpshooter
,Warlock,Religion,10,Crime,The Archfey,Crossbow Expert
,Barbarian,Athletics,285,Pit Fighting,Path of the Storm Herald,Great Weapon Master
,Sorcerer,Athletics,42,Gambling,Wild Magic,Resilient
,Paladin,Heal,12,Gambling,,Elven Accuracy
,Ranger,Athletics,12,Tool,,Crossbow Expert
,Rogue,Thievery,33,Relaxation,Scout,Medium Armor
,Rogue,Thievery,33,Relaxation,Scout,Mobile
,Sorcerer,Thievery,9,Crime,Wild Magic,Tough
,Druid,Thievery,10,Gambling,,Defensive Duelist
,Paladin,Thievery,11,Language,,Mobile
,Monk,Nature,27,Research,Way of the Open Hand,Actor
,Sorcerer,Nature,9,Crafting an Item,Draconic Bloodline,Lucky
,Monk,Thievery,10,Stronghold,,Elven Accuracy
,Barbarian,Insight,11,Tool,,Medium Armor
,Sorcerer|Warlock,Athletics,50,Crafting an Item,Shadow Magic|The Great Old One,Observent
,Druid,Thievery,96,Language,Circle of the Moon,Mobile
,Wizard,Endurance,56,Sacred Rites,School of Evocation,Medium Armor
,Ranger,Bluff,64,Scribing a Spell Scroll,Hunter,Lucky
,Druid,Bluff,8,Crafting an Item,,Elven Accuracy
,Wizard,Intimidate,26,Crime,School of Abjuration,Lucky
,Fighter|Ranger,Heal,28,Carousing,|,Dual Wielder
,Bard,Arcana,8,Tool,,Sentinel
,Monk,Stealth,10,Relaxation,,Elven Accuracy
,Monk,Bluff,10,Crafting an Item,,Mobile
,Rogue,Streetwise,12,Carousing,,Sentinel
,Monk,Intimidate,29,Research,Way of the Open Hand,Resilient
,Rogue,Religion,56,Stronghold,Thief,Defensive Duelist
,Paladin,Arcana,13,Selling a Magic Item,,Mobile
,Paladin,Streetwise,11,Tool,,Medium Armor
,Rogue,Dungeoneering,10,Scribing a Spell Scroll,,Resilient
,Druid,Nature,11,Relaxation,,War Caster
,Sorcerer,Bluff,9,Tool,Storm Sorcery,Defensive Duelist
,Bard,Thievery,43,Selling a Magic Item,College of Lore,Actor
,Sorcerer,Endurance,27,Sacred Rites,Shadow Magic,Polearm Master
,Monk,Streetwise,43,Selling a Magic Item,Way of Shadow,Defensive Duelist
,Paladin,Nature,44,Work,Oath of Devotion,Sharpshooter
,Barbarian,Dungeoneering,14,Language,,Spell Sniper
,Warlock,Endurance,9,Religious Service,The Fiend,Observent
,Bard,Intimidate,12,Work,,Sharpshooter
,Cleric,Heal,26,Buying a Magic Item,Light Domain,Shield Master
,Monk,Intimidate,21,Work,,Great Weapon Master
,Barbarian,Streetwise,85,Sacred Rites,Path of the Totem Warrior,Mobile
,Fighter,Intimidate,40,Crime,Eldritch Knight,Great Weapon Master
,Wizard,Bluff,31,Sacred Rites,School of Evocation,Crossbow Expert
,Rogue,Stealth,28,Carousing,Thief,Elven Accuracy
,Cleric|Wizard,Arcana,64,Work,Knowledge Domain|School of Enchantment,Shield Master
,Wizard,Diplomacy,35,Carousing,School of Transmutation,Resilient
,Bard,Endurance,26,Carousing,College of Glamour,Dual Wielder
,Sorcerer,Nature,7,Gambling,Wild Magic,Medium Armor
,Sorcerer,Thievery,7,Selling a Magic Item,Wild Magic,Resilient
,Sorcerer,Stealth,7,Religious Service,Wild Magic,Mobile
,Sorcerer,Heal,7,Work,Wild Magic,War Caster
,Barbarian|Fighter,Nature,33,Carousing,|,Shield Master
,Monk,Bluff,8,Language,,Alert
,Fighter,Heal,10,Tool,,Resilient
,Cleric,Thievery,9,Language,Life Domain,Observent
,Rogue,Dungeoneering,9,Language,,Defensive Duelist
,Ranger,Bluff,13,Sowing Rumors,,Tough
,Paladin,Thievery,33,Relaxation,Oath of Devotion,Sharpshooter
,Wizard,Endurance,20,Religious Service,School of Abjuration,Polearm Master
,Fighter,Athletics,31,Selling a Magic Item,Samurai,Observent
,Fighter,Arcana,37,Sowing Rumors,Champion,Tough
,Rogue,Arcana,24,Pit Fighting,Thief,Alert
,Rogue,Arcana,24,Work,Assassin,Sentinel
,Druid,Streetwise,24,Language,Circle of the Land,Dual Wielder
,Bard,Heal,24,Sowing Rumors,College of Valor,Tough
,Cleric,Arcana,24,Sowing Rumors,War Domain,Sentinel
,Warlock,Insight,33,Pit Fighting,The Fiend,Great Weapon Master
,Sorcerer,Bluff,20,Buying a Magic Item,Wild Magic,Elven Accuracy
,Wizard,Thievery,20,Crime,School of Evocation,Prodigy
,Barbarian,Arcana,35,Carousing,Path of the Totem Warrior,Observent
,Ranger,Stealth,167,Carousing,Hunter,Observent
,Cleric,Bluff,19,Buying a Magic Item,Life Domain,Actor
,Barbarian,Nature,27,Buying a Magic Item,Path of the Battlerager,Defensive Duelist
,Bard,Heal,30,Language,College of Valor,Great Weapon Master
,Wizard,Streetwise,8,Buying a Magic Item,,Lucky
,Fighter|Wizard,Stealth,29,Scribing a Spell Scroll,|,Dual Wielder
,Artificer,Arcana,57,Sowing Rumors,Gunsmith,Tough
,Ranger,Athletics,5,Sacred Rites,,Tough
,Druid,Thievery,17,Stronghold,Circle of spores,Dual Wielder
,Druid,Athletics,6,Pit Fighting,,Actor
,Barbarian,Stealth,8,Tool,,Crossbow Expert
,Druid,Insight,24,Tool,Circle of the Shepherd,Actor
,Druid,Streetwise,24,Research,Circle of the Shepherd,Shield Master
,Cleric,Dungeoneering,46,Sacred Rites,Light Domain,Dual Wielder
,Warlock,Nature,10,Crime,The Great Old One,Lucky
,Druid,Streetwise,10,Crafting an Item,,Medium Armor
,Monk,Bluff,9,Tool,,Resilient
,Bard,Arcana,9,Sacred Rites,,Prodigy
,Fighter|Cleric,Athletics,93,Tool,Battle Master|Forge Domain,Medium Armor
,Fighter|Cleric,Thievery,146,Crafting an Item,Battle Master|Forge Domain,Elven Accuracy
,Bard,Endurance,8,Relaxation,,Resilient
,Monk,Arcana,10,Tool,,Crossbow Expert
,Ranger,Endurance,11,Crafting an Item,,Medium Armor
,Rogue,Streetwise,21,Gambling,Assassin,War Caster
,Wizard,Nature,8,Gambling,,Alert
,Fighter,Nature,12,Stronghold,,Alert
,Fighter,Thievery,18,Stronghold,,Spell Sniper
,Fighter|Cleric|Warlock,Dungeoneering,85,Pit Fighting,Eldritch Knight|Forge Domain|The Great Old One,Elven Accuracy
,Monk,Thievery,11,Research,,Elven Accuracy
,Fighter,Religion,22,Stronghold,,Lucky
,Fighter|Wizard,Religion,20,Buying a Magic Item,|,Sentinel
,Druid,Streetwise,40,Pit Fighting,Circle of the Moon,Dual Wielder
,Druid,Thievery,40,Carousing,Circle of the Moon,Sentinel
,Ranger|Rogue,Insight,48,Carousing,Beast Master|,Crossbow Expert
,Paladin,Nature,60,Sowing Rumors,Oath of Ancients,Alert
,Wizard,Insight,25,Crafting an Item,School of Evocation,Sharpshooter
,Fighter|Warlock,Thievery,218,Tool,Battle Master|The Hexblade,Dual Wielder
,Cleric,Athletics,33,Crime,Life Domain,Prodigy
,Wizard,Heal,52,Tool,School of Divination,Mobile
,Wizard,Religion,32,Pit Fighting,School of Divination,War Caster
,Wizard,Stealth,12,Scribing a Spell Scroll,,Crossbow Expert
,Bard,Thievery,170,Research,College of Glamour,Dual Wielder
,Barbarian,Intimidate,36,Work,Path of the Ancestral Guardian,Defensive Duelist
,Warlock,Endurance,129,Crafting an Item,The Hexblade,Polearm Master
,Warlock,Athletics,25,Relaxation,The Fiend,Polearm Master
,Cleric,Intimidate,33,Relaxation,Light Domain,Dual Wielder
,Cleric,Thievery,12,Selling a Magic Item,Life Domain,Actor
,Ranger,Religion,29,Gambling,Gloom Stalker,Observent
,Paladin,Thievery,42,Pit Fighting,Oath of Conquest,Sharpshooter
,Fighter,Thievery,43,Relaxation,Arcane Archer,Mobile
,Cleric,Athletics,42,Selling a Magic Item,Life Domain,Sentinel
,Fighter,Religion,44,Relaxation,Arcane Archer,Sharpshooter
,Fighter,Nature,35,Religious Service,Champion,Great Weapon Master
,Rogue,Streetwise,21,Religious Service,Thief,Observent
,Wizard,Athletics,32,Research,School of Necromancy,Great Weapon Master
,Rogue,Thievery,34,Religious Service,Swashbuckler,Actor
,Barbarian,Heal,53,Stronghold,Path of the Berserker,Medium Armor
,Fighter,Heal,12,Work,,Actor
,Fighter,Heal,12,Gambling,,Mobile
,Paladin,Diplomacy,29,Buying a Magic Item,Oath of the Crown,Tough
,Paladin,Insight,29,Work,Oath of the Crown,Shield Master
,Paladin,Endurance,29,Gambling,Oath of the Crown,Defensive Duelist
,Fighter,Heal,42,Pit Fighting,Champion,Observent
,Fighter,Stealth,12,Relaxation,,Tough
,Ranger,Nature,47,Crafting an Item,Hunter,Medium Armor
,Druid,Heal,32,Research,Circle of the Land,Dual Wielder
,Cleric,Religion,176,Research,Trickery Domain,Prodigy
,Druid,Religion,33,Scribing a Spell Scroll,Circle of the Land,Prodigy
,Rogue,Bluff,180,Religious Service,Inquisitive,Mobile
,Cleric,Intimidate,38,Crime,Grave Domain,Resilient
,Druid,Dungeoneering,51,Religious Service,Circle of the Moon,Crossbow Expert
,Warlock,Dungeoneering,73,Crime,The Great Old One,Polearm Master
,Cleric,Dungeoneering,18,Selling a Magic Item,War Domain,Medium Armor
,Warlock,Nature,73,Pit Fighting,The Great Old One,Prodigy
,Rogue|Fighter,Stealth,22,Gambling,|,Observent
,Ranger,Athletics,11,Gambling,,Sentinel
,Sorcerer,Intimidate,26,Pit Fighting,Draconic Bloodline,Resilient
,Sorcerer,Diplomacy,26,Carousing,Draconic Bloodline,Crossbow Expert
,Bard|Monk,Endurance,79,Sacred Rites,College of Swords|,Sentinel
,Wizard,Bluff,8,Tool,,Elven Accuracy
,Bard,Heal,9,Relaxation,,Great Weapon Master
,Ranger,Insight,12,Language,,Lucky
,Fighter,Nature,79,Selling a Magic Item,Battle Master,Actor
,Fighter|Rogue,Stealth,72,Tool,Battle Master|Assassin,Spell Sniper
,Barbarian,Athletics,23,Research,Path of the Storm Herald,Tough
,Paladin,Streetwise,12,Sowing Rumors,,Alert
,Barbarian,Arcana,14,Sacred Rites,,Elven Accuracy
,Paladin,Endurance,14,Sacred Rites,,Observent
,Paladin,Endurance,12,Pit Fighting,,Medium Armor
,Rogue,Diplomacy,13,Sacred Rites,,Mobile
,Sorcerer,Diplomacy,56,Language,Draconic Bloodline,Shield Master
,Bard,Thievery,121,Selling a Magic Item,College of Glamour,Medium Armor
,Druid,Arcana,72,Crime,Circle of the Moon,Resilient
,Monk,Stealth,59,Research,Way of the Drunken Master,Great Weapon Master
,Fighter,Bluff,160,Buying a Magic Item,Cavalier,Dual Wielder
,Paladin|Cleric,Diplomacy,97,Sowing Rumors,Oath of the Crown|Order Domain,Lucky
,Cleric,Intimidate,97,Religious Service,Tempest Domain,War Caster
,Druid,Religion,195,Scribing a Spell Scroll,Circle of Spores,Elven Accuracy
,Ranger|Cleric,Heal,130,Gambling,Monster Slayer|Tempest Domain,Resilient
,Fighter,Dungeoneering,33,Research,Eldritch Knight,Polearm Master
,Rogue,Diplomacy,13,Scribing a Spell Scroll,,Great Weapon Master
,Ranger,Insight,8,Relaxation,,Alert
,Fighter,Bluff,36,Language,Gunslinger,Shield Master
,Fighter|Rogue,Thievery,194,Tool,Gunslinger|Assassin,Tough
,Revised Ranger,Heal,176,Research,Beast Conclave,Actor
,Sorcerer,Insight,40,Scribing a Spell Scroll,Divine Soul,Tough
,Warlock,Nature,8,Sacred Rites,The Great Old One,Shield Master
,Wizard,Religion,22,Buying a Magic Item,School of Evocation,Lucky
,Paladin,Insight,39,Selling a Magic Item,Oath of Redemption,Observent
,Monk,Religion,23,Crafting an Item,Way of the Drunken Master,Crossbow Expert
,Rogue,Religion,38,Language,Arcane Trickster,Medium Armor
,Rogue|Warlock,Streetwise,28,Selling a Magic Item,Inquisitive|Raven Queen,Spell Sniper
,Rogue,Heal,9,Research,,Actor
,Cleric,Insight,18,Carousing,Tempest Domain,Observent
,Monk,Insight,27,Crime,Way of the Drunken Master,Spell Sniper
,Monk,Endurance,72,Gambling,Way of the Drunken Master,Elven Accuracy
,Ranger,Religion,8,Language,,Polearm Master
,Revised Ranger,Heal,56,Language,Horizon Walker,Mobile
,Ranger,Bluff,28,Pit Fighting,Beast Master,Sentinel
,Monk|Rogue,Diplomacy,61,Work,Way of the Kensei|Swashbuckler,Spell Sniper
,Cleric,Thievery,30,Tool,War Domain,Sharpshooter
,Bard,Arcana,35,Sacred Rites,College of Valor,Polearm Master
,Sorcerer,Stealth,16,Scribing a Spell Scroll,Wild Magic,Actor
,Fighter,Athletics,54,Crime,Champion,Sharpshooter
,Wizard,Dungeoneering,19,Relaxation,School of Necromancy,Tough
,Druid,Streetwise,33,Research,Circle of the Shepherd,Crossbow Expert
,Monk,Thievery,33,Relaxation,Way of the Drunken Master,Lucky
,Cleric,Heal,43,Tool,Knowledge Domain,Mobile
,Monk,Intimidate,33,Selling a Magic Item,Way of the Drunken Master,Shield Master
,Wizard,Intimidate,17,Gambling,School of Enchantment,Tough
,Barbarian,Arcana,50,Gambling,Path of the Ancestral Guardian,Alert
,Fighter,Stealth,39,Work,Purple Dragon Knight,Alert
,Rogue,Streetwise,23,Selling a Magic Item,Arcane Trickster,Shield Master
,Druid,Stealth,23,Language,Circle of Dreams,Alert
,Paladin,Arcana,44,Work,Oath of Vengeance,Lucky
,Ranger,Heal,34,Selling a Magic Item,Monster Slayer,Mobile
,Fighter,Intimidate,12,Selling a Magic Item,,Tough
,Rogue,Intimidate,9,Pit Fighting,,Dual Wielder
,Sorcerer,Nature,14,Gambling,Storm Sorcery,Shield Master
,Cleric,Insight,22,Research,Light Domain,Sharpshooter
,Wizard,Nature,8,Sacred Rites,,Medium Armor
,Ranger,Nature,94,Crime,Hunter,Sentinel
,Wizard,Diplomacy,200,Crafting an Item,School of Enchantment,Sentinel
,Monk,Endurance,10,Crime,,Polearm Master
,Paladin,Insight,11,Selling a Magic Item,,Resilient
,Sorcerer,Intimidate,7,Scribing a Spell Scroll,Phoenix,Crossbow Expert
,Bard,Thievery,24,Work,College of Glamour,Elven Accuracy
,Druid,Heal,12,Crime,Circle of the Land,Shield Master
,Gunslinger,Intimidate,24,Sacred Rites,Desperado,Observent
