Race_ID,Race_Name,Size,Language,Abilities,Traits,Sub_races
,Stout Halfling,Tiny,Terran,Stealth,Heroic Presence,Holy Elf
,Tiefling,Medium,Undercommon,Bluff,Gift of the Naaru,Fey Heritage
,Protector Aasimar,Small,Aquan,Endurance,Engineering Specialist,Half Dragon
,Human,Gargantuan,Ignan,Religion,Every Man for Himself,Half Dragon
,Protector Aasimar,Large,Draconic,Dungeoneering,Engineering Specialist, Zombie
,Human,Small,Dravish,Athletics,Engineering Specialist,Reaper Aasimar
,Dragonborn,Huge,Giant,Endurance,Draenei,Brae Dwarf
,Triton,Huge,Primordial,Bluff,Draenei,Deep Dwarf
,Bugbear,Medium,Common,Stealth,Nimble Fingers,Sunfire Elf
,Wood Elf,Gargantuan,Orc,Endurance,Gift of the Naaru,Titanborn
,Goliath,Medium,Infernal,Thievery,Engineering Specialist,Winger Aasimar
,Goblin,Gargantuan,Primordial,Bluff,Nature Resistence,Half-Celestial
,Wood Elf,Gargantuan,Aquan,Insight,The Human Spirit,Arcadian
,Dragonborn,Tiny,Abyssal,Bluff,Diplomacy,Deep Dwarf
,Wood Elf,Small,Sylvan,Endurance,Heroic Presence,Arcadian
,Goblin,Gargantuan,Druidic,Intimidate,Wisp Spirit,Brae Dwarf
,Protector Aasimar,Huge,Gnoll,Insight,Draenei,Reaper Aasimar
,Human,Tiny,Orc,Athletics,Arcane Resistance,Reaper Aasimar
,Human,Small,Celestial,Insight,Gem Cutting,Mothra Aasimar
,Dragonborn,Large,Infernal,Insight,Shadow Resistence,Winger Aasimar
,Yordle,Large,Elvish,Heal, Shadow Meld,Dragon Child
,Goliath,Huge,Primordial,Athletics,Stone Form,Arcadian
,Dark Elf,Small,Auran,Diplomacy,Every Man for Himself,Brae Dwarf
,Goliath,Tiny,Celestial,Dungeoneering,Explorer,Urban Elf
,Dragonborn,Huge,Auran,Dungeoneering, Expansive Mind,Sunfire Elf
,Human,Medium,Terran,Thievery,Nimble Fingers,Crystal Born
,High Elf,Gargantuan,Terran,Streetwise,Nature Resistence,Half Dragon
,Triton,Small,Celestial,Intimidate, Expansive Mind,Mothra Aasimar
,Lizardfolk,Huge,Elvish,Heal,Touch of Elune,Winger Aasimar
,Minotaur,Large,Deep Speech,Stealth,Engineering Specialist,Fey Heritage
,Half-Elf,Tiny,Ignan,Streetwise,Arcane Resistance,Dragon Elf
,Wood Elf,Small,Gnoll,Arcana,Gift of the Naaru,Crystal Born
,Lineage - Meph,Small,Deep Speech,Religion,Nature Resistence,Deep Dwarf
,Human,Tiny,Orc,Nature,Nimble Fingers,Volcano Dwarf
,Lightfoot Halfling,Huge,Elvish,Intimidate,Shadow Resistence,Half-Celestial
,Human,Small,Dravish,Thievery,Gem Cutting,Arcadian
,Turtle,Huge,Gnoll,Streetwise,Draenei,Firebeard Dwarf
,Warforged,Large,Auran,Intimidate,Shadow Resistence,Urban Elf
,Firbolg,Medium,Halfling,Diplomacy,Frost Resistance,Firebeard Dwarf
,Hill Dwarf,Tiny,Undercommon,Thievery, Expansive Mind,Dragon Child
,Human,Huge,Aquan,Arcana,The Human Spirit,Titanborn
,Geth - Yan,Medium,Celestial,Athletics,Heroic Presence,Winger Aasimar
,Tabaxi,Gargantuan,Goblin,Bluff,Diplomacy,Firebeard Dwarf
,Lineage - Baal,Medium,Dravish,Arcana,Gift of the Naaru,Reaper Aasimar
,Human,Large,Druidic,Heal,Engineering Specialist,Reaper Aasimar
,Deep Gnome,Huge,Infernal,Bluff,Shadow Resistence,Titanborn
,Human,Medium,Deep Speech,Diplomacy,Shadow Resistence, Burly Halfling
,Dragonborn,Small,Gnoll,Intimidate,Gift of the Naaru,Winger Aasimar
,Tiefling,Medium,Undercommon,Thievery,Nature Resistence,Titanborn
,Human,Tiny,Ignan,Stealth,Draenei,Brae Dwarf
,Half-Elf,Huge,Auran,Streetwise,Escape Artist,Half-Celestial
,Lineage - Disp,Medium,Dravish,Athletics,Heroic Presence, Burly Halfling
,Hill Dwarf,Huge,Aquan,Streetwise,Arcane Resistance,Dragon Child
,High Elf,Tiny,Aquan,Intimidate,Might of the Mountain,Half-Celestial
,Dragonborn,Medium,Auran,Heal,Heroic Presence,Reaper Aasimar
,Mountain Dwarf,Gargantuan,Halfling,Intimidate,Escape Artist,Titanborn
,High Elf,Small,Infernal,Endurance, Expansive Mind,Elemental Born
,Tiefling,Medium,Infernal,Diplomacy, Expansive Mind,Holy Elf
,Half-Orc,Tiny,Ignan,Insight,Heroic Presence,Volcano Dwarf
,Half-Elf,Small,Draconic,Stealth,The Human Spirit,Dragon Elf
,Human,Tiny,Abyssal,Insight,Explorer, Zombie
,Tiefling,Tiny,Abyssal,Heal,Engineering Specialist, Zombie
,Wood Elf,Huge,Gnomish,Thievery,Quickness,Arcadian
,Half-Orc,Tiny,Primordial,Endurance, Shadow Meld,Dragon Child
,Turtle,Large,Giant,Thievery,Nimble Fingers,Volcano Dwarf
,Dark Elf,Small,Deep Speech,Bluff,Stone Form,Crystal Born
,Protector Aasimar,Gargantuan,Orc,Athletics,Quickness, Zombie
,Dragonborn,Medium,Druidic,Insight,Gift of the Naaru,Arcadian
,Forest Gnome,Large,Auran,Intimidate,Explorer,Dragon Child
,Wood Elf,Large,Gnoll,Insight,Escape Artist,Titanborn
,Protector Aasimar,Medium,Goblin,Thievery,Frost Resistance, Burly Halfling
,Deep Gnome,Medium,Dravish,Endurance,Escape Artist,Crystal Born
,Aarakocra,Large,Celestial,Heal,Draenei,Holy Elf
,Human,Gargantuan,Infernal,Arcana,Arcane Resistance,Winger Aasimar
,Human,Small,Deep Speech,Heal,Escape Artist,Sunfire Elf
,Turtle,Large,Aquan,Religion,Draenei,Deep Dwarf
,Aarakocra,Huge,Sylvan,Religion,Nature Resistence,Dragon Elf
,Lizardfolk,Huge,Gnoll,Thievery, Shadow Meld,Reaper Aasimar
,Gem (Sapphire),Large,Undercommon,Endurance,Frost Resistance,Half Dragon
,Half-Elf,Large,Elvish,Heal,Engineering Specialist,Half-Celestial
,Tiefling,Huge,Dravish,Endurance,Arcane Resistance,Holy Elf
,Human,Small,Auran,Streetwise,Gift of the Naaru,Crystal Born
,Fallen Aasimar,Huge,Abyssal,Intimidate,The Human Spirit,Urban Elf
,Goliath,Large,Infernal,Insight,Quickness, Zombie
,Hill Dwarf,Huge,Auran,Arcana,Heroic Presence,Urban Elf
,Human,Medium,Ignan,Nature,Engineering Specialist,Urban Elf
,Tabaxi,Tiny,Deep Speech,Endurance,Stone Form,Holy Elf
,Forest Gnome,Gargantuan,Infernal,Diplomacy,Diplomacy,Arcadian
,Mountain Dwarf,Gargantuan,Dravish,Intimidate,Gift of the Naaru,Reaper Aasimar
,Forest Gnome,Gargantuan,Infernal,Diplomacy,Quickness,Winger Aasimar
,Forest Gnome,Small,Gnoll,Intimidate,Diplomacy,Crystal Born
,Tabaxi,Small,Undercommon,Diplomacy,Heroic Presence,Firebeard Dwarf
,Forest Gnome,Huge,Undercommon,Insight,Arcane Resistance,Dragon Elf
,Mountain Dwarf,Large,Sylvan,Dungeoneering,Escape Artist, Burly Halfling
,Rock Gnome,Tiny,Ignan,Bluff,Stone Form,Deep Dwarf
,Rock Gnome,Gargantuan,Halfling,Dungeoneering,Explorer,Dragon Elf
,Rock Gnome,Gargantuan,Undercommon,Arcana,Explorer,Volcano Dwarf
,Rock Gnome,Gargantuan,Ignan,Dungeoneering,Shadow Resistence,Sunfire Elf
,Shadow Elf,Tiny,Halfling,Athletics,Elusivness,Crystal Born
,Turtle,Gargantuan,Terran,Athletics,Heroic Presence,Holy Elf
,Rock Gnome,Huge,Celestial,Endurance,Quickness,Volcano Dwarf
,Human,Small,Draconic,Religion,Every Man for Himself,Volcano Dwarf
,High Elf,Medium,Gnoll,Nature,The Human Spirit,Brae Dwarf
,Human,Medium,Dravish,Stealth,Gift of the Naaru,Holy Elf
,Forest Gnome,Large,Halfling,Intimidate,Nimble Fingers,Fey Heritage
,Dhampire,Large,Elvish,Heal,Gift of the Naaru,Half-Celestial
,Vampire,Huge,Ignan,Dungeoneering,Stone Form,Half-Celestial
,Tiefling,Huge,Druidic,Dungeoneering,Might of the Mountain,Holy Elf
,Mountain Dwarf,Large,Halfling,Nature,Elusivness,Half-Celestial
,Tabaxi,Medium,Goblin,Dungeoneering,Elusivness, Zombie
,Tiefling,Tiny,Undercommon,Athletics,Shadow Resistence,Winger Aasimar
,Dragonborn,Huge,Halfling,Diplomacy,Might of the Mountain,Crystal Born
,Goliath,Medium,Celestial,Endurance,Quickness,Firebeard Dwarf
,Dragonborn,Tiny,Druidic,Intimidate,Engineering Specialist,Winger Aasimar
,Variant,Medium,Dravish,Insight,Escape Artist,Reaper Aasimar
,Kenku,Large,Gnoll,Nature,Shadow Resistence,Half-Celestial
,Tiefling,Huge,Druidic,Stealth,Escape Artist,Deep Dwarf
,Bugbear,Large,Primordial,Bluff,Arcane Resistance,Fey Heritage
,Wood Elf,Tiny,Terran,Bluff,Escape Artist,Elemental Born
,Tabaxi,Tiny,Halfling,Diplomacy,Nimble Fingers,Urban Elf
,Forest Gnome,Large,Halfling,Nature,Every Man for Himself,Mothra Aasimar
,Turtle,Tiny,Aquan,Insight,Heroic Presence,Reaper Aasimar
,Triton,Tiny,Giant,Thievery,Gift of the Naaru,Titanborn
,Luxodon,Small,Elvish,Diplomacy,Heroic Presence,Sunfire Elf
,Tiefling,Small,Halfling,Religion,Touch of Elune,Volcano Dwarf
,Human Imaskari,Medium,Giant,Athletics,Stone Form,Dragon Elf
,Rock Gnome,Small,Giant,Nature,Nature Resistence,Holy Elf
,Firbolg,Gargantuan,Auran,Stealth,Shadow Resistence,Mothra Aasimar
,Firbolg,Tiny,Draconic,Arcana,The Human Spirit,Brae Dwarf
,Human,Huge,Halfling,Diplomacy,Nature Resistence,Half Dragon
,Human,Medium,Terran,Religion,Frost Resistance,Half Dragon
,Human,Small,Abyssal,Diplomacy,Arcane Resistance,Titanborn
,Kenku,Gargantuan,Deep Speech,Athletics,Stone Form,Deep Dwarf
,Kenku,Huge,Elvish,Insight,Nature Resistence,Urban Elf
,Tabaxi,Small,Abyssal,Heal, Expansive Mind, Burly Halfling
,Hill Dwarf,Huge,Undercommon,Dungeoneering,Quickness,Sunfire Elf
,Human,Medium,Primordial,Religion,Every Man for Himself,Volcano Dwarf
,Half-Elf,Medium,Gnoll,Endurance,Quickness,Reaper Aasimar
,Human,Small,Gnoll,Endurance,Escape Artist,Deep Dwarf
,Mountain Dwarf,Large,Orc,Heal,Touch of Elune,Dragon Elf
,Mountain Dwarf,Huge,Goblin,Bluff,Diplomacy,Reaper Aasimar
,Lineage - Fier,Small,Common,Stealth,Escape Artist,Half-Celestial
,Half-Orc,Huge,Halfling,Bluff,Frost Resistance,Dragon Child
,Hill Dwarf,Small,Undercommon,Streetwise,Arcane Resistance,Half Dragon
,Hill Dwarf,Medium,Druidic,Religion,Quickness,Mothra Aasimar
,Scourge Aasimar,Tiny,Celestial,Nature,Explorer,Urban Elf
,Human,Huge,Celestial,Heal,Arcane Resistance,Deep Dwarf
,Dragonborn,Large,Goblin,Intimidate,Arcane Resistance,Dragon Elf
,Hill Dwarf,Small,Elvish,Religion,Escape Artist,Winger Aasimar
,Animal Hybrid,Tiny,Gnoll,Diplomacy, Shadow Meld, Zombie
,Dark Elf,Medium,Goblin,Nature, Expansive Mind,Urban Elf
,Kenku,Tiny,Dravish,Streetwise,Might of the Mountain,Arcadian
,Kenku,Tiny,Auran,Athletics,Gift of the Naaru,Half Dragon
,Lineage - Glas,Tiny,Druidic,Arcana, Expansive Mind,Fey Heritage
,Tiefling,Tiny,Terran,Heal,Draenei, Zombie
,Half-Elf,Large,Deep Speech,Stealth,Heroic Presence,Brae Dwarf
,Kobold,Large,Draconic,Diplomacy,Might of the Mountain,Half-Celestial
,High Elf,Large,Terran,Arcana,Wisp Spirit,Holy Elf
,Serpentblood,Huge,Ignan,Diplomacy,Gem Cutting,Volcano Dwarf
,Hill Dwarf,Medium,Orc,Stealth,Gift of the Naaru,Holy Elf
,Half-Elf,Tiny,Orc,Nature,Nature Resistence,Volcano Dwarf
,Changeling,Tiny,Ignan,Heal,Every Man for Himself,Deep Dwarf
,Hill Dwarf,Huge,Abyssal,Bluff,Explorer,Reaper Aasimar
,Hill Dwarf,Huge,Abyssal,Diplomacy, Shadow Meld,Crystal Born
,Hill Dwarf,Huge,Gnomish,Bluff,Shadow Resistence,Urban Elf
,Wood Elf,Medium,Abyssal,Thievery, Shadow Meld,Half-Celestial
,Variant,Large,Aquan,Religion,Frost Resistance,Half-Celestial
,Minotaur,Large,Undercommon,Heal,Quickness,Deep Dwarf
,Simic Hybrid,Gargantuan,Ignan,Nature,Draenei,Mothra Aasimar
,Human,Medium,Sylvan,Athletics,Elusivness, Burly Halfling
,Hill Dwarf,Small,Giant,Thievery,Gift of the Naaru,Deep Dwarf
,Human,Tiny,Auran,Athletics, Shadow Meld,Fey Heritage
,Half-Elf,Tiny,Gnomish,Stealth,Nature Resistence,Elemental Born
,Lineage - Disp,Small,Deep Speech,Arcana,Escape Artist,Firebeard Dwarf
,Mountain Dwarf,Tiny,Terran,Nature,Wisp Spirit,Dragon Child
,Dragonborn,Medium,Goblin,Thievery,The Human Spirit,Winger Aasimar
,Half-Elf,Small,Giant,Endurance,Diplomacy,Half Dragon
,Lightfoot Halfling,Huge,Druidic,Arcana,Arcane Resistance,Half-Celestial
,Dragonborn,Tiny,Goblin,Endurance, Expansive Mind,Deep Dwarf
,Rock Gnome,Medium,Celestial,Arcana,Shadow Resistence,Half Dragon
,Goblin,Medium,Elvish,Diplomacy,Explorer,Crystal Born
,Human,Huge,Common,Heal,Nimble Fingers,Deep Dwarf
,Human,Tiny,Draconic,Streetwise,Escape Artist,Winger Aasimar
,Minotaur,Gargantuan,Sylvan,Heal,Might of the Mountain,Winger Aasimar
,Animal Hybrid,Tiny,Deep Speech,Diplomacy, Shadow Meld,Firebeard Dwarf
,Wood Elf,Gargantuan,Terran,Insight,Stone Form,Firebeard Dwarf
,Human,Large,Undercommon,Bluff,Heroic Presence,Dragon Child
,Human,Small,Goblin,Nature,Stone Form,Mothra Aasimar
,Lightfoot Halfling,Gargantuan,Halfling,Nature,Touch of Elune,Winger Aasimar
,Half-Elf,Tiny,Gnoll,Thievery,Touch of Elune,Firebeard Dwarf
,Wood Elf,Small,Halfling,Athletics,Engineering Specialist,Firebeard Dwarf
,Triton,Gargantuan,Celestial,Heal,Escape Artist,Winger Aasimar
,Lightfoot Halfling,Medium,Giant,Nature,Wisp Spirit,Crystal Born
,Human,Tiny,Druidic,Religion,Explorer,Sunfire Elf
,Human,Small,Orc,Intimidate,Wisp Spirit,Reaper Aasimar
,Triton,Large,Draconic,Athletics,Draenei,Dragon Elf
,Half-Elf,Gargantuan,Gnoll,Stealth,Frost Resistance,Dragon Elf
,Human,Large,Undercommon,Dungeoneering,Shadow Resistence,Titanborn
,Tiefling,Huge,Giant,Arcana,Gem Cutting,Arcadian
,Wood Elf,Small,Orc,Intimidate,Draenei,Dragon Child
,Dragonborn,Medium,Deep Speech,Streetwise,Wisp Spirit,Elemental Born
,Succubus,Gargantuan,Ignan,Dungeoneering,Draenei,Half Dragon
,Succubus,Tiny,Elvish,Diplomacy,Every Man for Himself,Volcano Dwarf
,Forest Gnome,Medium,Aquan,Thievery,Engineering Specialist,Fey Heritage
,Minotaur,Tiny,Infernal,Arcana,Gem Cutting, Burly Halfling
,Half-Elf,Large,Sylvan,Insight,Engineering Specialist,Mothra Aasimar
,Hill Dwarf,Tiny,Dravish,Athletics,Nature Resistence,Titanborn
,Dragonborn,Medium,Elvish,Thievery,Escape Artist,Urban Elf
,Goliath,Tiny,Deep Speech,Bluff,Might of the Mountain,Winger Aasimar
,Dark Elf,Small,Abyssal,Intimidate,Arcane Resistance,Crystal Born
,Fallen Aasimar,Small,Sylvan,Streetwise,Nature Resistence,Dragon Child
,Human,Huge,Celestial,Streetwise,Arcane Resistance,Sunfire Elf
,Shadow Elf,Small,Elvish,Arcana,Touch of Elune,Urban Elf
,Shadow Elf,Large,Sylvan,Dungeoneering,Might of the Mountain,Winger Aasimar
,Eladrin DMG,Large,Infernal,Nature, Expansive Mind,Winger Aasimar
,Shadow Elf,Medium,Auran,Insight,Nature Resistence,Elemental Born
,Shadow Elf,Tiny,Ignan,Arcana,Heroic Presence,Winger Aasimar
,Shadow Elf,Tiny,Halfling,Dungeoneering, Shadow Meld,Crystal Born
,Human,Tiny,Abyssal,Streetwise,Engineering Specialist,Winger Aasimar
,Goliath,Large,Gnomish,Endurance,Engineering Specialist,Dragon Elf
,Centaur,Tiny,Sylvan,Heal,Arcane Resistance,Mothra Aasimar
,Shadow Elf,Large,Sylvan,Arcana,Quickness,Fey Heritage
,Half-Elf,Huge,Abyssal,Bluff,Frost Resistance,Mothra Aasimar
,Half-Elf,Huge,Undercommon,Arcana,Gem Cutting,Holy Elf
,Lightfoot Halfling,Large,Terran,Streetwise,Elusivness,Deep Dwarf
,Lightfoot Halfling,Tiny,Giant,Bluff,Engineering Specialist,Dragon Elf
,Half-Elf,Large,Dravish,Stealth,Heroic Presence,Holy Elf
,Hill Dwarf,Medium,Orc,Diplomacy,Elusivness,Urban Elf
,Dragonborn,Small,Giant,Religion,Diplomacy,Volcano Dwarf
,Forest Gnome,Small,Druidic,Thievery,Might of the Mountain,Mothra Aasimar
,Forest Gnome,Tiny,Deep Speech,Diplomacy,Diplomacy, Zombie
,Human,Medium,Goblin,Religion,Heroic Presence,Fey Heritage
,Tiefling,Tiny,Terran,Athletics,The Human Spirit,Urban Elf
,Human,Large,Gnoll,Insight,Gem Cutting,Brae Dwarf
,Human,Small,Deep Speech,Athletics,Stone Form,Fey Heritage
,Half-Orc,Huge,Orc,Streetwise,Wisp Spirit,Half-Celestial
,Human,Huge,Orc,Athletics, Shadow Meld,Dragon Elf
,Tiefling,Large,Deep Speech,Streetwise,Touch of Elune,Sunfire Elf
,Half-Elf,Tiny,Common,Heal,Engineering Specialist,Half-Celestial
,Goblin,Large,Sylvan,Religion,Arcane Resistance,Deep Dwarf
,Human,Large,Terran,Intimidate,Touch of Elune,Firebeard Dwarf
,Wood Elf,Gargantuan,Giant,Dungeoneering,Explorer,Half Dragon
,Dark Elf,Medium,Infernal,Heal,Every Man for Himself,Dragon Elf
,Wood Elf,Large,Auran,Thievery,Diplomacy,Dragon Elf
,Goliath,Gargantuan,Common,Intimidate,Stone Form,Crystal Born
,Fallen Aasimar,Medium,Ignan,Religion,Heroic Presence, Zombie
,Goblin,Tiny,Orc,Diplomacy,Nimble Fingers,Deep Dwarf
,Goliath,Large,Sylvan,Thievery,Gem Cutting,Dragon Child
,Fallen Aasimar,Medium,Sylvan,Intimidate,Stone Form,Crystal Born
,Human,Medium,Draconic,Arcana, Expansive Mind, Burly Halfling
,Tabaxi,Small,Elvish,Intimidate,Might of the Mountain,Elemental Born
,Goliath,Huge,Abyssal,Bluff,Might of the Mountain,Arcadian
,Goliath,Gargantuan,Sylvan,Dungeoneering,Draenei,Half-Celestial
,Serpentblood,Medium,Giant,Arcana,Quickness,Fey Heritage
,Eladrin ToF,Huge,Celestial,Thievery,Quickness,Mothra Aasimar
,Human,Tiny,Ignan,Thievery, Shadow Meld,Elemental Born
,Half-Elf,Medium,Sylvan,Religion,Nature Resistence,Winger Aasimar
,Human,Medium,Halfling,Nature,Touch of Elune,Arcadian
,Human,Large,Auran,Athletics,Gem Cutting,Dragon Child
,Protector Aasimar,Medium,Celestial,Endurance,Escape Artist, Zombie
,Tiefling,Tiny,Elvish,Diplomacy, Shadow Meld,Reaper Aasimar
,High Elf,Medium,Orc,Nature,The Human Spirit,Titanborn
,Human,Huge,Dravish,Nature,Every Man for Himself,Deep Dwarf
,Human,Large,Aquan,Insight,Shadow Resistence,Dragon Child
,Ghastly Halfling,Small,Undercommon,Athletics,Nimble Fingers, Burly Halfling
,Gray Dwarf,Gargantuan,Sylvan,Diplomacy, Shadow Meld,Urban Elf
,Human,Medium,Terran,Bluff,Diplomacy,Urban Elf
,Rock Gnome,Large,Infernal,Streetwise,Elusivness,Urban Elf
,Changeling,Huge,Aquan,Arcana,Nature Resistence,Titanborn
,Human,Medium,Undercommon,Diplomacy,Frost Resistance, Burly Halfling
,Shadow Elf,Medium,Auran,Arcana,Diplomacy,Holy Elf
,Human,Tiny,Goblin,Stealth,Arcane Resistance,Mothra Aasimar
,Human,Huge,Deep Speech,Stealth,Escape Artist,Fey Heritage
,Penguin,Small,Infernal,Intimidate,Heroic Presence,Brae Dwarf
,Wood Elf,Tiny,Aquan,Athletics,Wisp Spirit, Zombie
,Half-Orc,Gargantuan,Halfling,Bluff,Nimble Fingers,Mothra Aasimar
,Goblin,Medium,Goblin,Arcana,Every Man for Himself,Deep Dwarf
,Hill Dwarf,Large,Undercommon,Religion,Touch of Elune,Firebeard Dwarf
,Human,Gargantuan,Common,Athletics,Touch of Elune,Volcano Dwarf
,Human,Tiny,Auran,Endurance,Nimble Fingers,Deep Dwarf
,Dragonborn,Medium,Auran,Athletics,Elusivness,Dragon Elf
,Half-Orc,Tiny,Elvish,Insight,Draenei,Deep Dwarf
,High Elf,Tiny,Orc,Bluff, Expansive Mind, Burly Halfling
,High Elf,Huge,Gnomish,Bluff,Gift of the Naaru, Zombie
,Half-Elf,Medium,Sylvan,Bluff,Arcane Resistance, Burly Halfling
,Wood Elf,Tiny,Auran,Insight, Expansive Mind,Half Dragon
,Sea Elf,Tiny,Dravish,Athletics,Engineering Specialist,Volcano Dwarf
,Half-Elf,Small,Common,Endurance,Wisp Spirit,Dragon Child
,Human,Tiny,Gnomish,Diplomacy,Arcane Resistance,Sunfire Elf
,Human,Tiny,Orc,Streetwise,Nature Resistence,Half-Celestial
,Human,Gargantuan,Deep Speech,Bluff,Stone Form,Firebeard Dwarf
,Tiefling,Tiny,Primordial,Athletics,Diplomacy,Reaper Aasimar
,Human,Huge,Common,Intimidate,Touch of Elune, Zombie
,Human,Small,Aquan,Dungeoneering,Gem Cutting,Volcano Dwarf
,Wood Elf,Tiny,Draconic,Intimidate,Nimble Fingers,Urban Elf
,Aarakocra,Gargantuan,Primordial,Religion,Arcane Resistance,Arcadian
,Aarakocra,Small,Celestial,Endurance,Gem Cutting,Deep Dwarf
,Human,Large,Draconic,Athletics,Heroic Presence,Arcadian
,Aarakocra,Small,Undercommon,Nature,Engineering Specialist,Firebeard Dwarf
,Half-Elf,Large,Gnoll,Religion,Draenei, Zombie
,Human,Gargantuan,Dravish,Stealth,Wisp Spirit,Reaper Aasimar
,Fire Genasi,Gargantuan,Undercommon,Bluff,The Human Spirit,Winger Aasimar
,Human,Large,Common,Stealth,Nimble Fingers,Winger Aasimar
,Half-Orc,Medium,Gnomish,Athletics, Shadow Meld,Dragon Elf
,Half-Orc,Tiny,Auran,Arcana,The Human Spirit, Zombie
,Half-Elf,Tiny,Gnomish,Religion,Diplomacy,Brae Dwarf
,Human,Small,Halfling,Endurance, Shadow Meld,Deep Dwarf
,Human,Large,Auran,Arcana, Expansive Mind,Firebeard Dwarf
,Water Genasi,Huge,Gnomish,Heal,Every Man for Himself,Sunfire Elf
,High Elf,Medium,Druidic,Intimidate, Shadow Meld,Dragon Elf
,Half-Elf,Medium,Gnomish,Religion,The Human Spirit, Burly Halfling
,Half-Elf,Tiny,Primordial,Stealth, Expansive Mind,Half Dragon
,Lightfoot Halfling,Tiny,Deep Speech,Endurance,The Human Spirit,Dragon Elf
,Half-Elf,Huge,Sylvan,Arcana,Stone Form,Sunfire Elf
,Lightfoot Halfling,Huge,Goblin,Heal,Explorer,Deep Dwarf
,Dragonborn,Small,Ignan,Insight,Engineering Specialist,Mothra Aasimar
,Half-Elf,Large,Gnoll,Intimidate,Diplomacy,Brae Dwarf
,Human,Tiny,Celestial,Diplomacy,Elusivness,Urban Elf
,Minotaur,Tiny,Draconic,Streetwise,Frost Resistance,Firebeard Dwarf
,Air Genasi,Large,Auran,Bluff,Elusivness,Arcadian
,Water Genasi,Huge,Dravish,Nature,Escape Artist,Volcano Dwarf
,Dragonborn,Large,Terran,Streetwise,Engineering Specialist,Dragon Child
,Half-Elf,Huge,Abyssal,Insight,Stone Form,Urban Elf
,High Elf,Huge,Aquan,Nature,Nature Resistence,Sunfire Elf
,Lineage - Levi,Large,Giant,Athletics,Stone Form,Mothra Aasimar
,High Elf,Large,Draconic,Stealth,Gift of the Naaru,Brae Dwarf
,Aasimar,Small,Terran,Arcana,Every Man for Himself,Fey Heritage
,Minotaur,Tiny,Aquan,Dungeoneering, Expansive Mind,Elemental Born
,High Elf,Gargantuan,Primordial,Endurance,Arcane Resistance, Zombie
,Stout Halfling,Gargantuan,Gnomish,Diplomacy,Escape Artist,Mothra Aasimar
,Dragonborn,Huge,Common,Religion,Wisp Spirit,Half Dragon
,Mountain Dwarf,Gargantuan,Auran,Arcana,Escape Artist,Holy Elf
,Triton,Small,Halfling,Religion,Might of the Mountain,Sunfire Elf
,Dragonborn,Large,Ignan,Athletics,Touch of Elune,Dragon Elf
,Turtle,Tiny,Undercommon,Heal,Stone Form,Crystal Born
,Fire Genasi,Huge,Gnomish,Intimidate, Shadow Meld,Fey Heritage
,Dragonborn,Huge,Goblin,Athletics,Frost Resistance,Dragon Child
,Tabaxi,Small,Draconic,Intimidate,Touch of Elune,Holy Elf
,Half-Elf,Tiny,Abyssal,Bluff,Diplomacy,Arcadian
,Vedalken,Large,Ignan,Insight,Wisp Spirit,Deep Dwarf
,Forest Gnome,Medium,Goblin,Heal,Draenei,Dragon Elf
,Tabaxi,Huge,Druidic,Religion,The Human Spirit,Sunfire Elf
,Human,Tiny,Dravish,Dungeoneering,Wisp Spirit,Brae Dwarf
,Wood Elf,Large,Primordial,Diplomacy,Stone Form,Sunfire Elf
,Fallen Aasimar,Huge,Ignan,Insight,Escape Artist,Arcadian
,Tiefling,Tiny,Infernal,Stealth,The Human Spirit,Brae Dwarf
,Hill Dwarf,Small,Deep Speech,Endurance,Gem Cutting,Urban Elf
,Human,Large,Druidic,Insight,Elusivness, Zombie
,Half-Elf,Huge,Goblin,Religion,Elusivness,Deep Dwarf
,Dark Elf,Gargantuan,Dravish,Bluff, Expansive Mind,Sunfire Elf
,Variant,Huge,Sylvan,Thievery,Explorer,Firebeard Dwarf
,Child Of The Old Ones,Large,Dravish,Heal,Arcane Resistance,Winger Aasimar
,Scourge Aasimar,Tiny,Draconic,Diplomacy,Arcane Resistance,Brae Dwarf
,Protector Aasimar,Large,Common,Arcana,Explorer,Arcadian
,Ghastly Halfling,Medium,Abyssal,Arcana,Touch of Elune,Brae Dwarf
,Goliath,Gargantuan,Undercommon,Thievery,Elusivness,Volcano Dwarf
,Lineage - Fier,Medium,Ignan,Diplomacy,Stone Form,Brae Dwarf
,Wood Elf,Small,Auran,Dungeoneering,Stone Form,Reaper Aasimar
,Kalashtar,Tiny,Undercommon,Heal,The Human Spirit,Deep Dwarf
,Goblin,Small,Draconic,Arcana,Touch of Elune,Mothra Aasimar
,Half-Elf,Tiny,Druidic,Bluff,Gift of the Naaru,Crystal Born
,Lineage - Glas,Gargantuan,Dravish,Bluff,Gift of the Naaru,Sunfire Elf
,Dark Elf,Gargantuan,Orc,Intimidate,Diplomacy,Half-Celestial
,Dragonborn,Large,Druidic,Bluff,Gift of the Naaru,Deep Dwarf
,High Elf,Tiny,Ignan,Nature,Draenei,Mothra Aasimar
,Goliath,Gargantuan,Draconic,Arcana,Draenei,Dragon Child
,Tiefling,Medium,Dravish,Religion,Quickness,Deep Dwarf
,Wood Elf,Medium,Auran,Heal,Touch of Elune, Zombie
,Wood Elf,Large,Primordial,Athletics,Diplomacy,Dragon Elf
