"Race_Name","BG_Name","class","Class_Name","subclass","Level","Proficiency","HP","skills","weapons","Spell_Name","Casting_Time","choices","C_Name","PI_ID","PI_Name","Armor_Class","Story","Job","Characteristics","Ability","Training","Eq_Name","Price","Usage","Size","Language","Abilities","Traits","Components","Duration","Speed"
"Firbolg","Outlander","Druid 5","Druid","Circle of the Land",5,"Elemental Adept",50,"Athletics|Insight|Perception|Survival","Scimitar","Invisibility*2|Pass without Trace*2|Daylight*3|Haste*3","Wis",NA,"nifty_saha",2491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goliath","Barbarian Tribe Member","Barbarian 5","Barbarian","Path of the Storm Herald",5,NA,80,"Athletics|Perception|Survival|Intimidation","Greataxe|Handaxe|Javelin",NA,"Int",NA,"pedantic_rubin",2492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Hermit","Monk 7","Monk","Way of Shadow",7,NA,68,"Stealth|Religion|Insight|Medicine|Perception","Unarmed strike|Dagger|Shortsword|Longbow|Longsword","Minor Illusion*0|Darkness*2|Darkvision*2|Pass Without Trace*2|Silence*2","Wis",NA,"gifted_moore",2493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Knight","Fighter 3","Fighter","Eldritch Knight",3,NA,23,"History|Insight|Perception|Persuasion","Scimitar|Crossbow, light","Booming Blade*0|Ray Of Frost*0|Magic Missile*1|Shield*1|Witchbolt*1","Int","fighting style/Dueling","zen_feynman",2494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fallen Aasimar","Outlander","Sorcerer 5","Sorcerer","Draconic Bloodline",5,"War Caster",40,"Athletics|Insight|Survival|Persuasion","Dagger",NA,"Cha","metamagic/Twinned Spell*Quickened Spell","wonderful_shockley",2495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Criminal","Rogue 4","Rogue","Thief",4,NA,29,"Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion","Rapier|Shortbow|Dagger",NA,"Int","expertise/Stealth*Sleight of Hand","brave_murdock",2496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Sage","Warlock 6","Warlock","The Archfey",6,"Moderately Armored",43,"Arcana|History|Religion|Deception","Quarterstaff|Spear|Dagger","Eldritch Blast*0|Thaumaturgy*0|Prestidigitation*0|Guidance*0|Friends*0|Spare The Dying*0|Hex*1|Hellish Rebuke 1/D*1|Minor Illusion*1|Shatter*2|Hold Person*2|Dispel Magic*3|Major Image*3","Cha","eldritch invocations/Armor of Shadows*Agonizing Blast*Mask of Many Faces|pact boon/Pact of the Tome","jolly_feistel",2497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Far Traveler","Wizard 6","Wizard","School of Abjuration",6,NA,38,"Arcana|History|Investigation|Insight|Medicine|Perception","Quarterstaff",NA,"Int",NA,"naughty_mendel",2498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Air Genasi","Cloistered Scholar","Wizard 1","Wizard",NA,1,NA,9,"Stealth|Arcana|Insight|Perception","Dagger|Dart","Ray of Frost*0|Prestidigitation*0|Minor Illusion*0|Mage Armor*1|Shield*1|Find Familiar*1|Alarm*1|Detect Magic*1|Grease*1","Int",NA,"hungry_rosalind",2499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Forest Gnome","Sage","Wizard 3","Wizard","War Magic",3,NA,20,"Arcana|History|Investigation|Insight","Dagger",NA,"Int",NA,"cocky_albattani",2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rock Gnome","Sage","Wizard 1","Wizard",NA,1,NA,8,"Arcana|History|Investigation|Medicine","Quarterstaff",NA,"Int",NA,"boring_hypatia",2501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Charlatan","Warlock 1","Warlock","The Archfey",1,NA,10,"Sleight of Hand|Nature|Deception|Intimidation","Crossbow, light|Sickle|Dagger",NA,"Cha",NA,"hardcore_curran",2502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Urchin","Sorcerer 1","Sorcerer","Wild Magic",1,NA,8,"Sleight of Hand|Stealth|Religion|Insight|Deception|Persuasion","Quarterstaff|Dagger",NA,"Cha",NA,"laughing_gagarin",2503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Criminal","Rogue 1","Rogue",NA,1,NA,9,"Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Deception","Rapier|Shortbow|Dagger",NA,"Int","expertise/Thieves' Tools*Stealth","recursing_elbakyan",2504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lightfoot Halfling","Folk Hero","Ranger 1","Ranger",NA,1,NA,11,"Stealth|Nature|Animal Handling|Perception|Survival","Shortsword|Longbow",NA,"Wis",NA,"ecstatic_heyrovsky",2505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dragonborn","Noble","Paladin 1","Paladin",NA,1,NA,11,"Athletics|History|Intimidation|Persuasion","War pick|Javelin",NA,"Cha",NA,"elegant_sanderson",2506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill Dwarf","Hermit","Monk 1","Monk",NA,1,NA,10,"Acrobatics|Stealth|Religion|Medicine","Quarterstaff|Dart|Unarmed strike",NA,"Int",NA,"charming_haslett",2507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Soldier","Fighter 1","Fighter",NA,1,NA,12,"Athletics|Insight|Perception|Intimidation","Halberd|Warhammer|Crossbow, light",NA,"Int","fighting style/Great Weapon Fighting","cranky_haslett",2508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Hermit","Druid 1","Druid",NA,1,NA,10,"Nature|Religion|Medicine|Perception|Survival","Shortbow|Spear",NA,"Wis",NA,"modest_moser",2509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill Dwarf","Acolyte","Cleric 1","Cleric","Life Domain",1,NA,11,"History|Religion|Insight|Medicine","Mace|Crossbow, light","Bless*1|Cure Wounds*1","Wis",NA,"naughty_wozniak",2510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Charlatan","Bard 1","Bard",NA,1,NA,9,"Acrobatics|Sleight of Hand|Investigation|Animal Handling|Deception|Performance|Persuasion","Rapier|Dagger",NA,"Cha",NA,"quirky_davinci",2511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Orc","Outlander","Barbarian 1","Barbarian",NA,1,NA,14,"Athletics|Animal Handling|Perception|Survival|Intimidation","Maul|Javelin|Handaxe",NA,"Int",NA,"mystifying_poitras",2512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Sage","Druid 9","Druid","Circle of the Moon",9,NA,69,"Arcana|History|Nature|Perception","Dart|Dagger|Quarterstaff",NA,"Wis",NA,"hungry_feynman",2513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Urchin","Rogue 6|Wizard 3","Rogue|Wizard","Assassin|War Magic",9,NA,72,"Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Deception|Persuasion","Shortsword|Dagger|Dragon Edge Dagger|Aurum and Argentum|Shadow Drinker",NA,"Int","expertise/Stealth*Perception*Sleight of Hand*Acrobatics","pensive_mestorf",2514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aarakocra","Sailor","Rogue 3|Bard 1","Rogue|Bard","Scout|",4,NA,27,"Athletics|Acrobatics|Stealth|Investigation|Nature|Insight|Perception|Survival|Performance","Rapier|Shortbow|Dagger","Vicious Mockery WIS 1d4*0|True Strike*0|Cure Wounds D8+3*1|Thunderwave CON 2d8*1|Bane Cha D4*1|Hideous Laughter Wis *1","Int","expertise/Stealth*Perception","hardcore_sinoussi",2515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aarakocra","Sailor","Rogue 3|Bard 1","Rogue|Bard","Scout|",4,NA,27,"Athletics|Acrobatics|Stealth|Investigation|Nature|Insight|Perception|Survival|Performance","Rapier|Shortbow|Dagger","Vicious Mockery WIS 1d4*0|True Strike*0|Cure Wounds D8+3*1|Thunderwave CON 2d8*1|Bane Cha D4*1|Hideous Laughter Wis *1","Int","expertise/Stealth*Perception","hardcore_sinoussi",2516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Urchin","Ranger 5","Ranger","Gloom Stalker",5,"Crossbow Expert",54,"Sleight of Hand|Stealth|Nature|Insight|Perception|Survival","Rapier|Crossbow, heavy|Crossbow, hand","Disguise Self*1|Rope Trick*2","Wis","fighting style/Archery","charming_kalam",2517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tabaxi","Hermit","Monk 5","Monk","Way of Shadow",5,"Observant",47,"Stealth|History|Religion|Insight|Medicine|Perception","Quarterstaff|Dart|Unarmed strike",NA,"Int",NA,"wizardly_ellis",2518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Folk Hero","Barbarian 6|Druid 2","Barbarian|Druid","Path of the Totem Warrior|Circle of the Moon",8,"Resilient",89,"Athletics|Animal Handling|Perception|Survival|Intimidation","Greatsword |Handaxe|Javelin|Slashy Bois",NA,"Wis",NA,"gallant_allen",2519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Hermit","Druid 14","Druid","Circle of Dreams",14,"Skilled",94,"Arcana|Nature|Religion|Animal Handling|Insight|Medicine|Perception|Survival","Quarterstaff|Scimitar","Druidcraft*0|Gust*0|Produce Flame*0|Thorn Whip*0|Cure Wounds*1|Entangle (C)*1|Ice Knife*1|Animal Messenger (R)*2|Beast Sense (C, R)*2|Lesser Restoration*2|Moonbeam (C)*2|Call Lightning (C)*3|Dispel Magic*3|Meld Into Stone (R)*3|Protection From Energy (C)*3|Conjure Woodland Beings (C)*4|Dominate Beast (C)*4|Grasping Vine (C)*4|Antilife Shell (C)*5|Insect Plague (C)*5|Transport Via Plants*6|Regenerate*7","Wis",NA,"youthful_panini",2520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Knight","Paladin 3","Paladin","Oath of Vengeance",3,"Lucky",25,"Athletics|Religion|Insight|Intimidation|Persuasion","Longsword|Javelin|Javelin|Javelin|Javelin","Hunter<U+0092>s Mark*1|Command*1|Bane*1","Cha","fighting style/Great Weapon Fighting","hopeful_bartik",2521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Air Genasi","Cloistered Scholar","Wizard 1","Wizard",NA,1,NA,9,"Stealth|Arcana|Insight|Perception","Quarterstaff",NA,"Int",NA,"hungry_rosalind",2522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Sage","Sorcerer 1","Sorcerer","Draconic Bloodline",1,NA,9,"Sleight of Hand|Stealth|Arcana|History|Investigation|Persuasion","Crossbow, light|Dagger","Fire Bolt*0|Shocking Grasp*0|Ray of Frost*0|Acid Splash *0|Magic Missile*1|Detect Magic*1","Cha",NA,"vigorous_leakey",2523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Sage","Sorcerer 1","Sorcerer","Draconic Bloodline",1,NA,9,"Arcana|History|Insight|Deception|Intimidation|Persuasion","Crossbow, light|Dagger","Fire Bolt*0|Ray of Frost*0|Acid Splash*0|Shocking Grasp*0|Detect Magic*1|Magic Missile*1","Cha",NA,"vigorous_leakey",2524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghastly Halfling","Haunted One","Ranger 3","Ranger","Monster Slayer",3,NA,25,"Stealth|Arcana|Investigation|Religion|Insight","Shortsword|Crossbow, Heavy","Protection from Evil and Good*1","Wis","fighting style/Archery","sweet_agnesi",2525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghastly Halfling","Haunted One","Ranger 3","Ranger","Monster Slayer",3,NA,25,"Stealth|Arcana|Investigation|Religion|Insight","Shortsword|Crossbow, Heavy","Protection from Evil and Good*1","Wis","fighting style/Archery","sweet_agnesi",2526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Protector Aasimar","Outlander","Paladin 15","Paladin","Oath of Ancients",15,"Shield Master|Mage Slayer",142,"Athletics|Medicine|Survival|Persuasion","Glaive|Longsword +3|Longbow|Bronze Fate Of Tiamat|Holy Avenger","Ensnaring Strike*1|Speak with Animals*1|Compelled Duel*1|Heroism*1|Command*1|Prot Evil and Good*1|Divine Favor*1|Shield Of Faith*1|Moonbeam*2|Misty Step*2|Zone Of Truth*2|Aid*2|Find Steed*2|Branding Smite*2|Lesser Restoration*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4","Cha","fighting style/Protection","loving_ride",2527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Protector Aasimar","Hermit","Warlock 5","Warlock","The Hexblade",5,"War Caster",50,"Arcana|History|Religion|Medicine","Dagger",NA,"Cha","eldritch invocations/Agonizing Blast*Improved Pact Weapon*Thirsting Blade|pact boon/Pact of the Blade","heuristic_kilby",2528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swiftstride Shifter","Far Traveler","Monk 1","Monk",NA,1,NA,10,"Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Perception","Quarterstaff|Unarmed strike|Dart",NA,"Int",NA,"condescending_raman",2529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephantine","Acolyte","Cleric 1","Cleric","Grave Domain",1,NA,12,"History|Religion|Insight|Persuasion","Mace|Crossbow, light","Spare the Dying*0|Bane*1|False Life*1","Wis",NA,"nervous_lehmann",2530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lineage - Zari","Sailor","Fighter 5","Fighter","Battle Master",5,"Dual Wielder",55,"Athletics|Acrobatics|Perception|Survival","Longsword|Flail",NA,"Int","combat superiority maneuvers/Riposte*Lunging Attack*Distracting Strike|fighting style/Two-Weapon Fighting","flamboyant_taussig",2531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Animal Hybrid","Far Traveler","Paladin 5","Paladin","Oath of Devotion",5,"Martial Adept",60,"Insight|Perception|Intimidation|Persuasion","Greatsword","Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2","Cha","animal enhancement/Nimble Climber|combat superiority maneuvers/Sweeping Attack*Lunging Attack|fighting style/Great Weapon Fighting","agitated_yonath",2532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stout Halfling","Folk Hero","Fighter 5","Fighter","Eldritch Knight",5,"Second Chance",65,"Acrobatics|Animal Handling|Perception|Survival","Longbow|Shortsword|Shortsword","Green Flame Blade*0|Mage Hand*0|Shield*1|Find Familiar*1|Ice Knife*1|Protection From Good/Evil*1","Int","fighting style/Two-Weapon Fighting","serene_albattani",2533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tabaxi","Entertainer","Bard 5","Bard","College of Swords",5,"Defensive Duelist",50,"Acrobatics|Stealth|History|Investigation|Insight|Perception|Performance","Rapier|Dagger","Earth Tremor*1|Bane*1|Healing Word*1|Dissonant Whisper*1|Invisibility*2|Blindness/Deafness*2|Silence*2|Bestow Curse*3","Cha","expertise/Perception*Acrobatics|fighting style/Dueling","determined_joliot",2534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-elf","Acolyte","Warlock 5","Warlock","The Celestial",5,"Elven Accuracy",38,"Sleight of Hand|Arcana|Religion|Insight|Perception","Sickle|Quarterstaff|Dagger|Eldritch  Blast|Chill Touch","Light*0|Sacred Flame*0|Eldritch Blast*0|Chill Touch*0|Minor Illusion*0|Guidance*0|Prestidigitation*0|Spare The Dying*0|Cure Wounds*1|Hex*1|Ceremony (Ritual)*1|Identify (Ritual)*1|Shatter*2|Lesser Restoration*2|See Invisibility (Ritual)*2|Invisibility (Ritual)*2|Hypnotic Pattern*3","Cha","eldritch invocations/Agonizing Blast*Book of Ancient Secrets*Eldritch Spear|pact boon/Pact of the Tome","jovial_mccarthy",2535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minotaur","Haunted One","Monk 5","Monk","Way of the Sun Soul",5,NA,55,"Athletics|Acrobatics|Investigation|Religion|Persuasion","Unarmed Strike",NA,"Int",NA,"cocky_moser",2536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Soldier","Ranger 3","Ranger","Gloom Stalker",3,"Alert",31,"Athletics|Stealth|Animal Handling|Insight|Perception|Intimidation","Shortsword|Longbow","Disguise Self*1|Zephyr Strike*1|Longstrider*1|Goodberry*1","Wis","fighting style/Archery","sleepy_elbakyan",2537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill Dwarf","Acolyte","Cleric 5","Cleric","Life Domain",5,NA,60,"History|Religion|Insight|Medicine","Warhammer","Mending*0|Sacred Flame*0|Spare The Dying*0|Thaumaturgy*0|Bless*1|Cure Wounds*1|Guiding Bolt*1|Healing Word*1|Inflict Wounds*1|Sancturay*1|Lesser Restoration*2|Spiritual Weapon*2|Aid*2|Prayer Of Healing*2|Zone Of Truth*2|Mass Healing Word*3|Spirit Guardians*3","Wis",NA,"cool_aryabhata",2538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Sage","Wizard 1","Wizard",NA,1,"Observant",8,"Arcana|History|Investigation|Insight","Quarterstaff","Fire Bolt*0|Light*0|Mage Hand*0|Burning Hands*1|Detect Magic*1|Expeditios Retreat*1|Longstrider*1|Mage Armor*1|Magic Missile*1","Int",NA,"distracted_driscoll",2539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lineage - Glas","Charlatan","Sorcerer 1","Sorcerer","Wild Magic",1,NA,7,"Sleight of Hand|Arcana|Deception|Persuasion","Dagger|Fire Bolt|Ray Of Frost|Poison Spray|Shocking Grasp","Minor Illusion*0|Fire Bolt*0|Ray Of Frost*0|Poison Spray*0|Shocking Grasp*0|Shield*1|Expeditious Retreat*1","Cha",NA,"nervous_allen",2540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lineage - Glas","Charlatan","Sorcerer 1","Sorcerer","Wild Magic",1,NA,7,"Sleight of Hand|Arcana|Deception|Persuasion","Dagger","Minor Illusion*0|Fire Bolt*0|Ray Of Frost*0|Poison Spray*0|Shocking Grasp*0|Shield*1|Witch Bolt*1","Cha",NA,"nervous_allen",2541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lineage - Glas","Charlatan","Sorcerer 1","Sorcerer","Draconic Bloodline",1,NA,7,"Sleight of Hand|Arcana|Deception|Intimidation","Dagger","Minor Illusion*0|Fire Bolt*0|Ray Of Frost*0|Poison Spray*0|Shocking Grasp*0|Shield*1|Witch Bolt*1","Cha",NA,"nervous_allen",2542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lineage - Glas","Charlatan","Sorcerer 1","Sorcerer","Draconic Bloodline",1,NA,6,"Sleight of Hand|Arcana|Deception|Intimidation","Dagger","Minor Illusion*0|Fire Bolt*0|Ray Of Frost*0|Poison Spray*0|Shocking Grasp*0|Shield*1|Witch Bolt*1","Cha",NA,"nervous_allen",2543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lineage - Glas","Charlatan","Sorcerer 1","Sorcerer","Draconic Bloodline",1,NA,6,"Sleight of Hand|Arcana|Deception|Intimidation","Dagger","Minor Illusion*0|Fire Bolt*0|Ray Of Frost*0|Poison Spray*0|Shocking Grasp*0|Shield*1|Witch Bolt*1","Cha",NA,"nervous_allen",2544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Criminal","Cleric 5","Cleric","Life Domain",5,"War Caster",38,"Stealth|Religion|Medicine|Deception","Mace|Crossbow, light","Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3","Wis",NA,"zealous_wozniak",2545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Orc","Criminal","Paladin 6","Paladin","Oath of Redemption",6,"Heavy Armor Master",52,"Stealth|Insight|Deception|Intimidation|Persuasion","Flail|Javelin","Sanctuary*1|Sleep*1|Calm Emotions*2|Hold Person*2","Cha","fighting style/Protection","angry_fermat",2546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Outlander","Fighter 3","Fighter","Eldritch Knight",3,"War Caster",27,"Athletics|Acrobatics|Insight|Perception|Survival","Longbow|Rapier|Handaxe",NA,"Int","fighting style/Dueling","ecstatic_blackwell",2547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dark Elf","Noble","Fighter 1","Fighter",NA,1,NA,12,"Athletics|History|Perception|Intimidation|Persuasion","Longsword|Gray-Crossbow",NA,"Int","fighting style/Great Weapon Fighting","zealous_wescoff",2548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"High Elf","Criminal","Rogue 1","Rogue",NA,1,NA,8,"Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Deception|Persuasion","Rapier|Shortbow|Dagger","Message*0","Int","expertise/Sleight of Hand*Deception","vigilant_engelbart",2549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dark Elf","Noble","Cleric 1","Cleric","Grave Domain",1,NA,10,"History|Religion|Insight|Perception|Persuasion","War pick|Gray-Crossbow","Spare the Dying*0|Sacred Flame*0|Thaumaturgy*0|Mending*0|Bane*1|False Life*1|Command*1|Cure Wounds*1|Guiding Bolt*1|Inflict Wounds*1|Sanctuary*1","Wis",NA,"pensive_sanderson",2550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serpentblood","Sailor","Sorcerer 3","Sorcerer","Draconic Bloodline",3,NA,23,"Athletics|Arcana|Insight|Perception","Crossbow, light|Dagger","Chill Touch*0|Fire Bolt*0|Poison Spray*0|Shocking Grasp*0|Ray of Frost*0|Ray Of Sickness*1|Charm Person*1","Cha","metamagic/Quickened Spell*Empowered Spell","eager_lamarr",2551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turtle","Sailor","Ranger 1","Ranger",NA,1,NA,11,"Athletics|Investigation|Nature|Animal Handling|Perception|Survival","Quarterstaff|Dagger|Longbow",NA,"Wis",NA,"sweet_dhawan",2552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Acolyte","Wizard 8","Wizard","School of Divination",8,"Magic Initiate",30,"Arcana|Investigation|Religion|Insight|Perception","Quarterstaff","Ray Of Frost (2d8)*0|Mage Hand*0|Prestidigitation *0|Guidance*0|Resistance*0|Acid Splash (2d6)*0|Minor Illusion *0|Mage Armor*1|Burning Hands*1|Magic Missile*1|Sleep*1|Detect Magic (Ritual)*1|Silent Image*1|Witch Bolt *1|Comprehend Languages (Ritual)*1|Shield*1|Identify (Ritual)*1|Disguise Self*1|Ice Knife*1|Scorching Ray (3x2d6)*2|See Invisibility *2|Aganazzer's Scorcher*2|Detect Thoughts*2|Mirror Image*2|Misty Step*2|Knock*2|Snilloc's Snowball Swarm*2|Magic Mouth (R)*2|Fireball*3|Haste*3|Tongues*3|Counterspell*3|Fly*3|Lightning Bolt*3|Wall Of Fire*4|Banishment *4|Locate Creature*4|M's Hound *4|Stoneskin*4|Fire Shield*4|Blight*4|Arcane Eye*4|Confusion*4|Evard's Black Tentacles*4","Int",NA,"youthful_beaver",2553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Soldier","Blood Hunter 6","Blood Hunter","Order of the Ghostslayer",6,"Dual Wielder",63,"Athletics|Acrobatics|Investigation|Insight|Survival|Intimidation","Crossbow, light|Scimitar|Shortsword",NA,"Int","primal rites/Rite of the Frozen*Rite of the Storm|fighting style/Two-Weapon Fighting|blood curses/Eyeless*Mutual Suffering","focused_tereshkova",2554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warforged","Entertainer","Fighter 1|Bard 2","Fighter|Bard","|",3,NA,29,"Acrobatics|Investigation|Insight|Perception|Performance|Persuasion","Crossbow, light|Battleaxe","Thunderclap*0|Vicious Mockery*0|Sleep*1|Healing Word*1|Faerie Fire*1|Disguise Self*1|Thunderwave*1","Cha","fighting style/Protection","bold_napier",2555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Criminal","Rogue 5","Rogue","Assassin",5,"Alert",45,"Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception","Shortsword|Shortbow|Dagger",NA,"Int","expertise/Thieves' Tools*Stealth","adoring_bohr",2556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Charlatan","Bard 5","Bard","College of Lore",5,NA,45,"Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Survival|Deception|Intimidation|Performance|Persuasion","Rapier|Dagger|Sling|Quarterstaff",NA,"Cha","expertise/Persuasion*Performance","jolly_engelbart",2557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
